 1 1. 2. لاتكس	latex	     
 1 1. اجازة 2. رخصة	License	     
 1 1. أحدب . حدباء 2. حدابي	Kyphotic	     
 1 1- استشارة 2- عيادة	Consultation	     
 1 1- استمناء 2- عزل	Onanism	     
 1 1. اسوي 2. تساوي 3. اي	Iso-	     
 1 1. اسوي المقاسات 2. لاتقصري	Isometric	     
 1 .1 البرد .2 بارد	Cold	     
 1 1- التئام 2- تصلد	Consolidation	     
 1 1- الفم 2- عظم	Os NA	     
 1 1. انتفاخ 2. نفخ	Inflation	     
 1 1- برتقال 2- برتقالي	Orange	     
 1 1. برق 2. صاعقة	Lightning	     
 1 1. تبليغ 2. حجز	Certification	     
 1 1. تحبيل 2. اشراب	Impergnation	     
 1 1- ترويق 2- إيضاح	Clarification	     
 1 1- تشمعي 2- متشمع	Cirrhotic`	     
 1 1. تغليف 2. استثمار	Investment	     
 1 1- تكاثف 2- تكثيف 3- حشو الأ	Condensation	     
 1 1. تمريخ 2. مروخ (ج: مروخا	Inunction	     
 1 1. توضع 2. توضيع	localization	     
 1 1. جانبي 2. وحشي	lateral	     
 1 1- جراحي 2- فعال	Operative	     
 1 1. حجر 2. حظر	Interdiction	     
 1 1- حجز 2- إيداع 3- التزام	Commitment	     
 1 1.حل 2.انحلال	lysis	     
 1 1. خمجي 2. خامج	Infectious	     
 1 1. خمجي 2. خامج	Infective	     
 1 1. داخلي 2. داخل	Interior	     
 1 1. در اللبن 2. الالبان	Lactation	     
 1 1. رافع 2. الرافعة	Levator	     
 1 1- رائحة 2- تناصح ( سابقة )	Osmo	     
 1 1. رصاص 2. اتجاه (في تخطيط	lead	     
 1 1- رفادة 2- يغضط	Compress	     
 1 1- رؤية الألوان 2- رؤية ملونة	Chromatopsia	     
 1 1- رؤية ملونة 2- رؤية الألوان	Chromopsia	     
 1 1. زرق 2. زرقة 3. احتق	Injection	     
 1 1. زرق 2. زرقة	Injectio	     
 1 1. زلة 2. تدلي	lapsus	     
 1 1.سغلي2. سغل	\marasmatic,marasmic\	     
 1 1- سلال 2- استهلاك	Consumption	     
 1 1. سنان 2. مبضع	lancet	     
 1 1- سواء النطق 2- تقويم النطق	Orthophony	     
 1 1. شديد 2. مشدد	Intensive	     
 1 1. شفاه 2.أشفار	Labia	     
 1 1. شفة 2. شفر	Labium NA	     
 1 1. شفوي 2. شفري	Labial	     
 1 1- شكل 2- شاكلة ( كيمياء )	Configuration	     
 1 1. غرسة 2. يغرس	Implant	     
 1 1- غصص 2- يغص	Choke	     
 1 1- فتق خصوي 2- فتق صفني 3-	Orchiocele	     
 1 1. قاطع 2. قاطعة	Incisive	     
