 1 3.4 Диванилил тетрахидрофан	3,4- divanillyl tetrahydrofuran	     
 1 3, 5, 7-Трихидрокси-4-метоксифлавон	3´,5,7-Trihydroxy-4´-methoxyflavone	     
 1 6, 7 Дихидроксибергамотин	6´,7´ Dihydroxybergamottin	     
 1 Aлфа блокери	Alpha andrenergic antagonists	     
 1 CNS	клинична медицинска сестра - специалист	     
 1 FLAIR	Fluid Attenuated Inversion Recovery	     
 1 L-аргинин	L-arginine	     
 1 Oрнитин	Ornithine	     
 1 агонист	agonist	     
 1 аденомиоза	adenomyosis	     
 1 адхезия	adhesion	     
 1 АКГ (алфа-кетоглутарат)	AKG	     
 1 акне	acne	     
 1 албумин	albumin, albumen	     
 1 Албумин концентрат	Albumin concentrate	     
 1 алгоменорея	algomenorrhea	     
 1 Алфа-2 адреноцептор	Alpha-2 adrenergic receptor	     
 1 Алфа липоева киселина	ALA	     
 1 Алфа липоева киселина	Аlpha lipoic acid	     
 1 аменорея	amenorrhoea	     
 1 Амилаза	Amylase	     
 1 Анаболен	Аnabolic	     
 1 анамнеза	anamnesis	     
 1 андроген	androgen	     
 1 андрогенен	androgenic	     
 1 аномалия	anomaly	     
 1 антибиотик	antiboitic	     
 1 антигонадотропин	antigonadotrophin	     
 1 Арахидонова киселина	AA	     
 1 Аргинин	Arginine	     
 1 атрофия	atrophy	     
 1 АТФ -аденозин трифосфат	ATP	     
 1 бактерия	bacterium	     
 1 без фузия/безфузионен	non-fusion	     
 1 Бета адреномиметиците	Beta andrenergic	     
 1 Бета-аланин	Beta-Alanine	     
 1 Бета аланин етил естер	Beta-Alanine Ethyl Ester	     
 1 Биоперин	Bioperine	     
 1 Бис пиколинат оксо ванадий	Bis Picolinato Oxo Vanadium	     
 1 БЛ. (бластома)	blastoma	     
 1 вагина	vagina	     
 1 вагиноза	vaginosis	     
 1 Вазодилатация	Vasodilation	     
 1 венозен катетър бътерфлай	scalp vein set	     
 1 Верижно-разклонени аминокиселини	BCAA	     
 1 Високо молекулярно тегло	High molecular weight	     
 1 високоскоростен процес на минимизиране	high speed shearing blade process	     
 1 ВПД	perceptual and conceptual activity	     
 1 въглехидрати	carbohydrate	     
 1 въглехидрати с нисък гликемичен индекс	low glycemic carbohydrates	     
 1 вътреутробно излагане	exposure in utero	     
 1 гадене	nausea	     
 1 гама-аминобутирова киселина	GABA	     
 1 Гама бутиробетаин	GBB	     
 1 гестаген	gestagene	     
 1 гестация	gestation	     
 1 гинекологич*	gynecological	     
 1 ГКС	GCS	     
 1 Гликемичен индекс	Glycemic index	     
 1 глобула	globule	     
 1 Глутамин	Glutamine	     
 1 глюкокортикоиди	glucocorticoid	     
 1 горна скатателна става	ankle joint, articulatio talocrutalis	     
 1 гредичка	solid pad	     
 1 Д1	D1	     
 1 Д/Th	diagnosis/therapy	     
 1 даназол	danasole	     
 1 двукратна биопсия	paired biopsy	     
 1 ДЕ	dorsal extension	     
 1 дебарасаж пре НГС	nasogastric lavage	     
 1 Декозахексаенова киселина	Docosahexaenoic Acid (DHA)	     
 1 Декстроза	Dextrose	     
 1 Декстрозен еквивалент	DE	     
 1 депо-медроксипрогестерон ацетат	depot medroxyprogesteron acetate	     
 1 диабет	diabetes	     
 1 диагноза	diagnosis	     
 1 диагностика	diagnostics	     
 1 дидрогестерон	dydrogesteron	     
 1 дидрогестеронът	dydrogesteron	     
 1 ди - Натрий креатин фосфаттетрахидрат	CPT	     
 1 ди - Натрий креатин фосфаттетрахидрат	Di Sodium Creatine PhosphateTetrahydrate	     
 1 дисменорея	dysmenorrhoea	     
 2 диспареуния	dyspareunia	     
 1 дихидротестостерон	dihydrotestosterone	     
 1 ДКВ	dynamic condylar screw	     
 1 ДПВ	IVC	     
 1 дълбок маншет	deep cuff	     
 1 Ейкозапентаенова киселина	Eicosapentaenoic Acid (EPA)	     
 1 елек. мех. дис. (електро-механична дисоциация)	electromechanical dissociation (EMD)	     
 1 ендокоагулация	endocoagulation	     
 1 ендометриоза	endometriosis	     
 1 ендометриоид*	endometriotic	     
 1 ендометриум	endometrium	     
 1 Епителиални клетки	Еpithelial cells	     
 1 Ергогенен	Еrgogenic	     
 1 ерефикация	straightening (of the cervical curve/lordosis)	     
 1 естроген	oestrogen	     
 1 естрогенен	oestrogenous	     
 1 ЕТА	ETA (endotracheal anesthesia)	     
 1 етиопатогенеза	etiopathogenesis	     
 1 (животински) пърхот	dander	     
 1 жлъчен канал	bile duct	     
 1 жълто тяло	corpus luteum	     
 1 заболяване	disease	     
 1 задъни на глухо	blind end is closed	     
 1 заличаване на сулкусите	sulcal effacement	     
 1 заличени сулкуси/ заличаване на сулкуси	sulcal effacement	     
 1 Зародишна пептид матрица	Embryonic peptide matrix	     
 1 зеници изокорични с РС	PERL	     
 1 имплантация	implantation	     
 1 импутация на неповлияли се (от лечението) пациенти	Non-Responder Imputation	     
 1 инкубатор за органни култури	organ bath	     
 1 инплантант*	inplantant	     
 1 инсулин*	insulin	     
 1 Инсулиноподобни фактори на растежа	IGF-1, IGF-2	     
 1 инсуфициенция	insufficiency	     
 1 интродюсер/въвеждач	introducer	     
 1 инфекция	infection	     
 1 Инфилтрационни ускорители	Permeation enhancers	     
 1 инфилтрация	infiltration	     
 1 иригационен водач	irrigator introducer/sheath	     
 1 Йохимбин	Yohimbe	     
 1 Казеин протеин хидролизат	Casein Protein Hydrolysates	     
 1 калциево-плътни включвания	calcium-dense inclusions	     
 1 Карнитин	Carnitine	     
 1 Керамично филтриран	Ceramic filtered	     
 1 Кетостерони	Ketosterones	     
 1 кефалометричен признак	cephalometric feature/characteristics	     
 1 кист*	cyst	     
 1 кистичен	cystic	     
 1 КМС	musculoskeletal system	     
 1 комплайънс	compliance	     
 1 компютърна аксиална томография (КАТ)	CAT scan	     
 1 компютърно подпомогната, насочвана с шаблон операция	computer-assisted, template-guided surgery	     
 1 конзола на сканиращ пръстен	gantry boom	     
 1 концентрация	concentration	     
 1 Креатин	Creatine	     
 1 Креатинол - о - фосфат	Creatinol-O-Phosphate	     
 1 кръвно налягане	blood pressure	     
 1 кръвоизлив	haemorrhage, bleeding	     
 1 кръст	waist	     
 1 ксантанова смола	Xanthan gum	     
 1 лапароскопия	laparoscopy	     
 1 ЛВ	lymph nodes	     
 1 Л-допа	L-dopa	     
 1 левоноргестрел	levonorgestrel	     
 1 лечение	treatment	     
 1 лигавица	mucous membrane	     
 1 Лимонен биофлавоноид	Lemon Bioflavonoid	     
 1 липиди	lipids	     
 1 Липотропни вещества	Lipotropics	     
 1 Л-теанин	L-theanine	     
 1 Л-триптофан	L-tryptophan	     
 1 ЛУО	LUO	     
 1 Лутеинизиращ хормон	Luteinizing hormone (LH)	     
 1 Магнезиев таншиноат B	MTB	     
 1 мазева превръзка	salve/ointment dressing	     
 1 маласаната	mishealed	     
 1 малки калици	minor calyces	     
 1 Малтитол	Мaltitol	     
 1 матка	uterus	     
 1 медроксипрогестерон ацетат	medroxyprogesterone acetate	     
 1 менархе	menarche	     
 1 менструал*	menstruational	     
 1 менструация	menstruation	     
 1 метаболизъм	metabolism	     
 1 метакарпофалангеална става	MCP	     
 1 метаплазия	metaplasia	     
 1 метастаза	metastasis	     
 1 мигрена	migraine	     
 1 Микрофилтрация в кръстосани потоци	Cross flow microfiltration	     
 1 минералкортикоиди	mineralcorticoids	     
 1 МКЛ (медио-клавикуларна линия)	midclavicular line	     
 1 МПР	MMR	     
 1 М.Щ. (МЩ)	Mingazzini-Strümpell's sign (test)	     
 1 надфонова фиксация	increased uptake	     
 1 накрайник на игла	needle hub	     
 1 намалена просветляемост	decreased radiolucency	     
 1 намеса	intervention	     
 1 нарушение	disturbance	     
 1 н. г. сонда	NG tube	     
 1 недоносеност	prematurity	     
 1 Незаменима аминокиселина	Essential amino acid	     
 1 необработен	un-denatured	     
 1 Нитратни верижно-разклонени аминокиселини	BCAA Nitrates	     
 1 НО (неврологично отделение)	neurology department/ward	     
 1 норетистерон	norethisterone	     
 1 норколут	norcolut	     
 1 нормална топика	normal position	     
 1 нортестостерон	nortestosterone	     
 1 Обратна осмоза	Reverse Osmosis	     
 1 Обс. ХМБ	Obs. IRDS/HMD	     
 1 обшиване	suturing, stitching around	     
 1 овулаторен	ovulational	     
 1 овулация	ovulation	     
 1 ОКГ (орнитин-алфа-кетоглутарат)	OKG	     
 1 ОМ1	OM1	     
 1 опашна кост	occyx	     
 1 Операцио а модо Юнеско	Surgery a Modo Jonesco	     
 1 орално	oral	     
 1 ос НРА	HPA axis	     
 1 отделителна система	secretory system	     
 1 отместване вода - мастна тъкан (WFS)	water-fat shift	     
 1 пакг (пакетогодина)	pack year	     
 1 Пантотенова киселина	Pantothenic Acid	     
 1 папаверин	papaverin	     
 1 Папаин	Papain	     
 1 патология	pathology	     
 1 пациенти, неподлагани на лечение с биологични модификатори на имунния отговор	biologic naïve patients	     
 1 пациент на непринудително лечение	informal patient	     
 1 П.Д.Д.-б.о	descending part of duodenum NAD	     
 1 перименструал*	perimenstrual	     
 1 перитонеум	peritoneum	     
 1 периферно-стволова увреда	peripheral nerve trunk injury	     
 1 персистират	persist	     
 1 перфорацио везице фелее	biliary vesicle perforation	     
 1 петнисто-ивичести засенчвания	spot-like/strip-like shadows	     
 1 Пиридоксин алфа-кетоглутарат	PAK	     
 1 плазма	plasma	     
 1 пл. еп. кл. кр. п. к-на	squamous epithelial cells, uric acid crystals	     
 1 ПМТ	subcutaneous adipose tissue	     
 1 поведение на изместване	Displacement аctivity	     
 1 повърхностен	superficial	     
 1 полуживот	half-life	     
 1 постъпателно прилагане/усилване (на дозата)	laddering	     
 1 прегнаните	pregnane	     
 1 прегнановото	pregnane nucleous	     
 1 преждевременно	premature	     
 1 прекаран*	undergone	     
 1 препарат	medicine, preparation	     
 1 прихилусно усилен белодробен рисунък	prominent perihilar lung markings	     
 1 проба за бактерии от рана/бактериологична посявка от рана	qualitative wound culture	     
 1 прогестерон	progesterone	     
 1 протеин*	protein	     
 1 Протеин изолат	Protein isolate	     
 1 проходен/прокарващ елеватор	passing elevator	     
 1 процедура по изписване на пациент с просрочен престой в болница	delayed discharge procedure	     
 1 Пулмо-отсл. ВД	vesicular breathing	     
 1 Разделени на фракции протеинови пептиди	Fractionated Protein Peptides	     
 1 Разкъсващ кожата ефект	Skin bursting effect	     
 1 разпространение	dissemination	     
 1 разцепваща се игла	splitting needle	     
 1 рампа с кранчета	ramp of stopcocks	     
 1 Растежен хормон	GH	     
 1 ребрени ножици/ костотом	rib cutters	     
 1 редуктаза	reductase	     
 1 ретрограден	retrograde	     
 1 ретроцервикал*	retrocervical	     
 1 (референтен) маркер, отметка, реперна точка	fiducial marker	     
 1 рехабилитация	rehabilitation	     
 1 рецептори	receptors	     
 1 рецидив	recurrence	     
 1 рецидив	relapse	     
 1 Рибофлавин	Riboflavin	     
 1 РП	ease of respiratory/breathing movements	     
 1 Рутин	Rutin	     
 1 рутинна венепункция за изследване на ER/PR	Rout Venipuncture for ER/PgR	     
 2 РЦх	RCx	     
 1 Сателитната клетъчна пролиферация (пъпкуване)	Satellite Cell Proliferation	     
 1 Свързана линоленова киселина	Conjugate Linoleic Acid (CLA)	     
 1 себорея	seborrhoea	     
 1 Сезамин	Sesamin	     
 1 серклаж	cerclage	     
 1 серум	serum	     
 1 Симпатомиметични агенти	Sympathomimetic agents	     
 1 синдром	syndrome	     
 1 Синергичен елемент	Synergist	     
 1 Синергична смес	Synergistic blend	     
 1 с.к.	SC	     
 1 скала за оценка на ажитацията по Коен-Мансфийлд	Cohen-Mansfield Agitation Inventory (CMAI)	     
 1 смутен дренаж 3 ст	hydronephrosis 3rd grade	     
 1 СНБА	systolic/mean pulmonary artery pressure	     
 1 спазмолитик	spasmolytic	     
 1 специализиран инструмент за вкарване на ТМ-400 импланти със странично захващане	TM-400 Specialty Lateral Grasping Inserter	     
 1 спонтанен аборт	spontaneous abortion, miscarriage	     
 1 срастване	concrescence	     
 1 Статус пост ЛЛ	S/P radiotherapy	     
 1 Стеаринова киселина	Stearic acid	     
 1 стерилитет	sterility	     
 1 стероидни хормони	steroidic hormones	     
 1 стомашно-чревен	gastrocolic	     
 1 СУБМ	Submandibular gland	     
 1 субмикронен	Sub-micron	     
 1 Сукралоза	Sucralose	     
 1 супелемент	Supplementation	     
 1 Суроватъчен протеин хидролизат	Whey Protein Hydrolysate	     
 1 Суроватъчен протеин цонцентрат	WPC	     
 1 Сънотворно-успокоителен комплекс	Sleep & Relaxation Complex	     
 1 сърдечно-съдова система	cardiovascular system	     
 1 таз	pelvic girdle	     
 1 талия	waist of the heart	     
 1 терапевтич*	therapeutics	     
 1 терапия	therapy	     
 1 терапия с инхибитори на адхезивните молекули	anti-adhesion molecule therapy	     
 1 терепавтичен биологичен продукт	therapeutic biologics	     
 1 термокоагулация	thermocoagulation	     
 1 тестоват оток	pitting oedema (edema)	     
 1 Тест реагент	Test potentiator	     
 1 Токофероли	Tocopherols	     
 1 тракт	tract	     
 1 транскортин	transcortine	     
 1 Трансмазнини	Trans fats	     
 1 Транс Ресвератрол	Trans Reservatrol	     
 1 триместър	trimester	     
 1 ТС	suicide attempt	     
 1 тунелизатор	tunneling rod	     
 1 удължител	extension tube	     
 1 ултразвук	supersound	     
 1 Фармакокинетичен	Pharmacokinetics	     
 1 Фармацевтична система на доставка	Pharmaceutical delivery system	     
 1 фимозно стеснено отвърстие	phimotic tubal opening	     
 1 Фолиева киселина	Folic acid	     
 1 фолиева киселина	folic acid	     
 1 Фосфатидилхолин	Phosphatidylcholine	     
 1 ФО (фамилна обремененост)	family history	     
 1 фрактура без разместване	undisplaced fracture	     
 1 фундус ок. утр.	fundi of both eyes	     
 1 ХА нива	hydroaeric levels	     
 1 хетеротопия	heterotopy	     
 1 Хидрогенирани мазнини	Hydrogenated oils	     
 1 Хиперплазия	Hyperplasia	     
 1 хиперполименорея	hyperpolymenorrhoea	     
 1 хиперсекреция на жлъчката с високи нива на бикарбонати	Bicarbonate-rich hypercholeresis	     
 1 хипертония	hypertonia	     
 1 Хипертрофичен	Hypertrophic	     
 1 хипофизектомия	hypophisectomy	     
 1 хирсутизъм	hirsutism	     
 1 хирургич*	surgical	     
 1 хирургия	surgery	     
 1 Хисперитин	Hesperetin	     
 1 хистероскопия	hysteroscopy	     
 1 хистологичен	histological	     
 1 холестерол	cholesterol	     
 1 хормономодулиращ*	hormonomodulative	     
 1 хранене чрез обикновена инфузионна система	gravity feeding	     
 1 храносмилател*	digestive	     
 1 Целулаза	Cellulase	     
 1 центрове за изпитвания извън Северна Америка	Ex-North America Trial Sites	     
 1 цервикалния	cervical	     
 1 цефазолин	cephasoline	     
 1 ЧДББ	incomplete right bundle branch block	     
 1 черен дроб	liver	     
 1 чувствителност на рецепторите към инсулина	insulin receptor site sensitivity	     
 1 щитовидна жлеза	thyroid gland	     
 1 яйчник	ovary	     
 1 яйчници	ovaries	     
 1 Ясно очертана и обезводнена мускулна сепарация	Crisp Water-Free Muscle Separation	     
