醋氨酚	Acetaminophen
酸碱的	acid base
急性	acute
急性痛风	acute gout
碱毒症	alkalosis
抗凝剂	anticoagulant
关节炎	arthritis
心房	atrial
屏障性避孕	barrier contraception
心搏缓慢，心动徐缓	bradycardia
中枢神经衰退	C.N.S depression
念珠菌病	candidiasis
心脏的，心脏病的，贲门的，心脏病患者，强心剂	cardiac
心律失常	cardiac arrhythmia
心力衰竭	cardiac failure
心机能不全	cardiac insufficiency
心绞痛	cardiac neuralgia
心脏病学家	cardiologist
中心静脉导管插入术	central venous catheterization
慢性	chronic
临床上	clinically
昏迷	coma
充血性的	congestive
皮质类固醇	corticosteroid
代谢失调	decompensation
苯甲二氮卓	diazepam
双氯芬酸钠	Diclofenac Na
地高辛	Digoxin
痛经	dysmenorrhea
电解液	electrolyte
法莫替丁	FAMOTIDINE
氟康唑	fluconazole
体液平衡	fluid balance
腹安酸	Frusemide
θ	gastric
心力衰竭	heart failure
肝	hepatic
肝硬化	hepatic cirrhosis
肝功能	hepatic function
裂孔疝脱	hiatus hernia
高钙血症	hyperkalaemia
换气过度，强力呼吸	hypeventilation
低血压	hypotension
发炎，炎症	inflammation
心内注射	intracardiac
肌内注射	intramuscular
静脉注射的	intravenous
硝酸异山梨醇酯	ISORDIL(Isorsorbide dinitrate)
哺乳，授乳期	lactation
拉诺辛	LANOXIN
局部麻醉	local anesthetic
止泻宁	LOMOTIL
þ	magnesium
绝经，断经，更年期	menopause
新陈代谢的，代谢作用的	metabolic
新陈代谢酸毒症	metabolic acidosis
小外科	minor surgery
θʹ	MUCAINE
重症肌无力	myasthenia gravis
心肌梗塞	myocardial infarction
麻醉的，麻醉药	narcotic
新生儿	neonate
神经失调	neurological disorder
水肿	oedema
食管的	oesophageal
食管炎	oesophagitis
食管镜检查	oesophagoscopy
膏	ointment
口咽的	oropharyngeal
扑热息痛	panadol
扑热息痛	Paracetamol
氢氯化五唑辛	Pentazocin Hcl
五唑辛	pentazocine
消化性溃疡	peptic ulcer
磷酸盐	phosphate
内科医生	physician
无效对照药剂	placebo
妊娠，怀孕，怀孕期	pregnancy
右丙氧芬	propoxyphene
肺	pulmonary
肾	renal
肾胆绞痛	renal and biliary colic
