 1 Addisonova bolest	Addison's disease, bronzed skin disease	     
 1 adrenergični (adrenalinski)	adrenergic	     
 1 afinitet	affinity	     
 1 agonist	agonist	     
 1 aktivni prijenos	active transport	     
 1 aktivnost lijeka	drug activity	     
 1 alanin aminotransferaza (ALT, SGPT)	alanine aminotransferase (ALT, SGPT)	     
 1 alkalna fosfataza (AF)	alkaline phosphatase (AP)	     
 1 analgetici	analgesics, analgetics	     
 1 antagonist (antagonistični)	antagonist	     
 1 apopleksija, mozdana kap	apoplexy	     
 1 apsces	abscess	     
 1 apsorpcija (apsorbiran, apsorbirati)	absorption	     
 1 artritis	arthritis	     
 1 artroza	arthritis (degenerative)	     
 1 aspartat aminotransferaza (AST, SGOT)	aspartate aminotransferase (AST, SGOT	     
 1 atletsko stopalo	athlete's foot	     
 1 babinje pranje	lochia	     
 1 bedrena arterija	femoral artery	     
 1 biljeg; marker	marker	     
 1 biodostupnost	bioavailability	     
 1 biopsija korionskih resica	chorionic villus sampling test	     
 1 biotest	bioassay	     
 1 blind experiment	double	     
 1 blind experiment	single	     
 1 b.o.	NAD	     
 1 brzina	rate	     
 1 cista Bartolinijeve zlijezde, Bartolinijeva cista	Bartholin gland cyst	     
 1 competitive antagonist	non	     
 1 davatelj zdravstvenih usluga	healthcare provider	     
 1 deformirana novorođenčad	deformed babies	     
 1 dekompenzirana miokardiopatija	decompensated myocardiopathy	     
 1 dekompresijska bolest	caisson disease	     
 1 diferencijalna krvna slika	hemogram	     
 1 difuzija	diffusion	     
 1 dilation	sirenje vrata maternice	     
 1 disocijacija	splitting	     
 1 displazija	dysplasia	     
 1 djelomični agonist	partial agonist	     
 1 djelotvoran	efficacious, effective	     
 1 djelotvornost lijeka	drug efficacy (intrinsic activity)	     
 1 dopaminergični (dopaminski)	dopaminergic	     
 1 doping	doping	     
 1 dostupnost lijeka	drug availability	     
 1 doza održavanja	maintenance dose	     
 1 effect (	dose	     
 1 eksternalizacija	acting out	     
 1 encefalin	enkefalin	     
 1 endotrahealna anestezija - anestezija intubacijom	endotracheal anesthesia	     
 1 enteralna, oralna primjena	enteral, oral	     
 1 epidemiološki nadzor / djelovanje epidemiološke službe	epidemic response	     
 1 epitelne stanice	skin cells	     
 1 farmakodinamika	pharmacodynamics	     
 1 farmakokinetika	pharmacokinetics	     
 1 farmakologija	pharmacology	     
 1 farmakologija ponašanja	behavioral pharmacology	     
 1 farmakovigilancija / praćenje nuspojava lijekova	pharmacovigilance	     
 1 fenomen istrošenosti	wearing off phenomenon	     
 1 FERR	Ferritin	     
 1 fizička ovisnost	physical dependence	     
 1 fontanele	soft spots	     
 1 GABA	GABA	     
 1 glicinergični     (glicinski)	glycine	     
 1 glutamatergični  (glutamatni)	glutamate	     
 1 glutation-S-transferaza (GST)	glutathione-S-transferase (GST)	     
 1 granica sigurnosti	margin of safety	     
 1 hemoptiza	hemoptysis	     
 1 higijenske mjere	sanitary procedure	     
 1 hioidna kost, jezicna kost	hyoid bone	     
 1 hipertenzivna kriza	hypertensive crisis	     
 1 holističko-organizmički pristup	Holistic-Organismic Approach	     
 1 hondromalacija patele	chondromalacia patellae	     
 1 idiosinkrazija	idiosyncrasy	     
 1 indeks tjelesne mase	BMI	     
 1 infekcija; zaraza	infection	     
 1 informirani pristanak	informed consent	     
 1 intrakutana, ukožna	intracutaneous (intradermal)	     
 1 intramuskularna p.	intramuscular	     
 1 intratekalna p.	intrathecal	     
 1 intravenska boja	intravascular dye	     
 1 intravenska p.	intravenous	     
 1 in vitro / u epruveti	in vitro	     
 1 iscjedak	discharge	     
 1 iskrvarenje	exsanguination	     
 1 isprekidano liječenje, intermitentna terapija	intermittent  therapy	     
 1 istraivačka studija	research study	     
 1 izazivanje poremećaja ravnoteže / remećenje ravnoteže	unbalancing	     
 1 izjava o sukladnosti	conformance statement	     
 1 izlučivanje lijeka	drug excretion	     
 1 izocentar	ISO center	     
 1 izvantjelesni optok	extracorporeal circulation	     
 1 izvođenje	enactment	     
 1 kinetika zasićenja	saturation kinetics	     
 1 klinicka zapazanja	clinical observations	     
 1 kliničko ispitivanje	clinical trial	     
 1 koeficijent raspodjele	partition coefficient	     
 1 koeficijent raspršenja	scattering coefficient	     
 1 kolinergični  (acetilkolinski)	cholinergic	     
 1 kompetitivni, natjecateljski antagonist	competitive antagonist	     
 1 koncentracija (razina)	concentration (level)	     
 1 kratkovidnost	myopia, short-sightedness, near-sightedness	     
 1 krizna kost	sacral bone	     
 1 kroskožna p.	transcutaneous (transdermal)	     
 1 kvrzica u dojci	breast lump	     
 1 lakatni zglob	cubital joint	     
 1 laki modani udar	minor stroke	     
 1 life	biological half	     
 1 life	half	     
 1 life of absorption	half	     
 1 life of elimination	half	     
 1 ligand	ligand	     
 1 liječenje, terapija	therapy	     
 1 lijek	drug	     
