 1 acesulfam K	acesulfam K, el	     
 1 aflatoxine	aflatoxina, la	     
 1 ammoniumwasserstofcarbonat	bicarbonato amónico	     
 1 anti-oxidant	anti-oxidante, el	     
 1 aspartaam	aspartame, el	     
 1 benzoëzuur	ácido benzoico, el	     
 1 bestrijdingsmiddel	pesticida, el	     
 1 BHA (Butylhydroxyanisol)	BHA (Butilhidroxianisol),	     
 1 BHT (Butylhydroxytolueen)	BHT (Butilhidroxitolueno),	     
 1 Clostridia soorten	bacterias Clostridium, las	     
 1 conserveermiddel	conservador, el	     
 1 cyclamaat	cíclamato, el	     
 1 emulgator	emulsionante, el	     
 1 energieleverende zoetstof	edulcorante que da energía,	     
 1 flavonoïden	flavonoides, los	     
 1 fructose	fructosa, la	     
 1 gallaat	gallato, el	     
 1 geurstof	aromatizante, el	     
 1 gezondheidsrisico	riesgo para la salud, el	     
 1 glijstang	barra, brazo o guia de desplazamiento	     
 1 Goede Praktijkuitgangspunt	BPF	     
 1 hoofdstroomonderbrekerpaneel	(panel del) interruptor principal	     
 1 isomalt	isomalt, el	     
 1 kankerrisico	riesgo de padecer el cáncer, el	     
 1 KNO2 (Kaliumnitriet)	KNO2 (nitrito potásico)	     
 1 laat me niet verslaafd raken aan, laat me niet verslingerd raken	no me enganches	     
 1 lactitol	lactitol, el	     
 1 lycasina	licasina, la	     
 1 macrovoedingsstof	macrocomponente, el	     
 1 maltitol	maltitol, el	     
 1 mannitol	manitol, el	     
 1 microvoedingsstof	microcomponente, el	     
 2 nemat. Varenr.mug	Nemátodo cecidomido	     
 1 nitraat	nitrato, el	     
 1 nitriet	nitrito, el	     
 1 nitrosamines	nitrosaminas, las	     
 1 N-nitrosoverbindingen	compuestos N-nitrosos, los	     
 1 noodgering	mínimo/cantidad mínima de emergencia	     
 1 noodzaakgrens	límite de necesidad, el	     
 1 ongestoord	(función) no alterada	     
 1 ontsporing	desvío, desviación	     
 1 positieve lijsten	listas positivas, las	     
 1 residu	residuo, el	     
 1 roofmijt, roofwantsen, sluipwesp	ácaro del techo, chinche del techo, avispa destructiva	     
 1 saccharine	sacarina, la	     
 1 schimmelaantasting	contaminación fúngica, la	     
 1 schimmelaantasting	micotoxicosis, la	     
 1 schimmelvergift	micotoxina, la	     
 1 seleen	selenio, el	     
 1 sensorisch	sensorial	     
 1 smaakstof	saborizante, el	     
 1 sorbitol	sorbitol, el	     
 1 spoorelement	oligoelemento, el	     
 1 spreiding	desviación	     
 1 sucrulose	sucrulosa, la	     
 1 sulfiet	sulfito, el	     
 1 synthese	síntesis, la	     
 1 THE UK HAVE HARDLY ANY RULES FOR BREEDING GSD	El Reino Unido apenas tiene normas para la crianza de perros pastores alemanes.	     
 1 toxiciteit	toxicidad, la	     
 1 tumoren induceren	inducir tumores	     
 1 tweepuntsdiscriminatie	la discriminación entre dos puntos, la distinción entre dos puntos	     
 1 tweepuntsdiscriminatie	la discriminación entre dos puntos, la selección entre dos puntos	     
 1 veerbreukbeveiliging	Seguro contra rotura del resorte	     
 1 veiligheidsmarge	margen de seguridad, el	     
 1 voedingspatroon	patrón de consumo de alimentos, el	     
 1 voormaagkanker	cáncer en el fondo del estómago	     
 1 vruchtvlies	membrana fetal	     
 1 xylitol	xilitol, el	     
 1 zet de wieken in de vreugdestand	pondrá las aspas del molino en la (típica) posición de celebración	     
 1 zoetstof	edulcorante, el	     
