 1 Abces	Apse	     
 1 Abdomen	Kar?n bölgesi, abdomen	     
 1 Abdominaal	Kar?n bölgesine ba?l?, bölgesinde; abdominal.	     
 1 Aberrant	Ayr?, farkl? olarak	     
 1 Abnormaal	anormal	     
 1 Abortus	Dü?ük, kürtaj, çocuk ald?rmak	     
 1 Absence	Yokluk, olmamak, mevcut olmamak.	     
 1 Accumulatie	Y???l?m, y???lma	     
 1 Aciditeit	Asidite, asitlik derecesi (düzeyi, seviyesi)	     
 1 Acne	Akne	     
 1 Actief	Aktif	     
 1 Activeren	Aktifle?tirme, aktih hale getirme, uyarma.	     
 1 Activiteit	Aktivite	     
 1 Acustischit	Akustik	     
 1 Acuut	Akut	     
 1 Adaptatie	Adaptasyon, uyum, uyum sa?lama	     
 1 Addictie	Ba??ml?l?k	     
 1 Additioneel	Ek olarak, ilaveten.	     
 1 Additivum	Ek madde, katk? maddesi, katk?.	     
 1 Adenoom	Adenom	     
 1 Adequaat	Yeterli, gerekti?i kadar	     
 1 Adolescent	Ergen, ergenlik ça??, delikanl?l?k	     
 1 Adrenerg	Adrenerjik	     
 1 Adult	Yeti?kin, ergin	     
 1 Advies	Tavsiye	     
 1 Aeroob	Aerobik	     
 1 Aerosol	Spreyimsi, havada da??lan	     
 1 Afasie	Konu?ma bozuklu?u, konu?amama	     
 1 Affiniteit	ilgi, alaka	     
 1 Agens	Etken, etkin madde	     
 1 Agranulocytose	Agranulocytosis	     
 1 Agressiviteit	Agresiv olma durumu, ta?k?nl?k	     
 1 Albumine	Albumin	     
 1 Alcoholisme	Alkolism, alkol ba??ml?l???	     
 1 Alkalisch	Alkalik, bazik.	     
 1 Allergeen	Allerjik etken, allerji yapan	     
 1 Allergie	Allerji	     
 1 Allergisch	Allerji alakal?, allerji ilintili.	     
 1 Alternatief	Alternative	     
 1 Amine	Amin	     
 1 Aminozuur	Amino asit	     
 1 Anaal	Geriden, anüsten	     
 1 Anabool	Anabolik, metabolizman?n sentezleme kanad?.	     
 1 Anaemia	Anemi	     
 1 Anafylactisch	Anflaktik	     
 1 Analgeticum	Analgezic	     
 1 Analoog	Anolog	     
 1 Analyse	Analiz, inceleme.	     
 1 Anamnese	Anamnez	     
 1 Ananroob	Anaerobik, oksijensiz	     
 1 Anatomisch	Anatomik, anatomi alakal?.	     
 1 Androgenen	Androjenik	     
 1 Anesthesie	Anestezi, uyu?turma, uyutma	     
 1 Anestheticum	Anestetik, uyu?turucu, uyutucu	     
 1 Anhydrisch	Anhidröz	     
 1 Anionisch	Anyonik	     
 1 Anomalie	Anomali	     
 1 Anorganisch	Inorganic, organik olmayan	     
 1 Anoxie	Oksizjensizlik	     
 1 Antacidum	Asite kar??, asit kar??t?	     
 1 Antagonist	Antagonist	     
 1 Antecedent	Antecedent	     
 1 Antemeticum	Antiemetik, kusmaya (bulant?) kar??	     
 1 Anthelminthicum	Solucan-barsak kurduna kar??.	     
 1 Anthrax	Antrax	     
 1 Anti-Allergisch	Allerjiye kar??	     
 1 Anti-Angineus	Anjine kar??	     
 1 Anti-Asthmaticum	Astma veya benzeri duruma kar??	     
 1 Antibacterieel	Bakterilere kar??, bakteriler için	     
 1 Antibioticatherapie	Antibiyok kullan?larak yap?lan tedavi, antibiyotik kullan?lmas?	     
 1 Antibioticum	Antibiyotik. Bakteri, mantar, vs ye kar?? kullan?lan ilaç grubu	     
 1 Anticoagulans	P?ht?la?may? önleyici, antikoagülan	     
 1 Antidepressivum	Depreseyona kar??, depresyon önleyici	     
 1 Antidotum	Antidot	     
 1 Anti-epilepticum	Saraya kar??, sara için	     
 1 Antifibrinolyticum	Fibrinolizi önlemek için	     
 1 Antifungisch	Mantarlara kar??, mantarlarla mücadele için	     
 1 Antigeen	Antijen	     
 1 Antihistaminicum	Antihistamin	     
 1 Antihypertensivum	Antihipertansif, yüksek tansiyona kar??	     
 1 Anti-Infectieus	Enfeksiyona kar??, enfeksiyon önleyici olarak	     
 1 Anti-Inflammatoir	Antienflamvatuar	     
 1 Antilichaam	Antibodi	     
 1 Antimicrobieel	Microplara kar??	     
 1 Antimitoticum	Mitoz bölünmeyi durduran	     
 1 Antimycoticum	Mayoz bölünmeyi durduran	     
 1 Anti-Oestrogeen	Anti-östrojenik	     
 1 Anti-Oxydans	Antioksidant	     
 1 Antitoxine	Antitoksin, kar?? toksin	     
 1 Antitrombotisch	P?ht?la?ma önleyici, t?kaç olu?umu önleyici	     
 1 Antiviraal	Antiviral, virüslere kar??	     
 1 Anus	Anüs, makat, geri	     
 1 Aplastische Anemie	Aplastik anemi	     
 1 Applicatie	Uygulama, kullanma, kullan?m	     
 1 Approximaal	Yakla??k, a?a?? yukar?	     
 1 Aquosus	Sulu, sulu ?özeltide	     
 1 Aromatisch	Aromatik, (baz? durumlarda koku veren)	     
 1 Arterieel	Arterial	     
 1 Arteriosclerose	Arteriosklerozis	     
 1 Artificieel	Suni, yapay	     
 1 Artritis	Artrit	     
 1 Asepsis	Mikropsuz olma durumu	     
 1 Aseptisch	Mikropsuz ortamda	     
 1 Aspecifiek	Spesifik olmayan	     
 1 Assisteren	Rehberlik-k?lavuzluk etme.	     
 1 Ataxie	Hareketsizlik	     
 1 Atoxisch	Toksik omayan, zehir etkisi göstermeyen	     
 1 Atrium	Atrium	     
 1 Atrofie	Atrofi	     
 1 Atypisch	Atipik, tipik olmayan	     
 1 Auto-Immuun	Otoimmün	     
 1 Bacil	Basil	     
 1 Bactericide	Bakteri öldürücü	     
 1 Bacteriod	Bakteroid	     
 1 Bacteriologisch	Bakteriyolojik	     
 1 Bacteriostaticum	Bakteriyostatik	     
 1 Barrier	Bariyer, engel	     
 1 Basaal	Bazal	     
 1 Base	Temel	     
 1 Benigne	Benign, iyi huylu	     
 1 Beschermend	Koruyucu olarak, koruyucu	     
 1 Beta-Blokkeerder	Beta-bloklayıcı	     
 1 Bifasisch	Bifazik	     
 1 Bilateraal	Bilateral	     
 1 Bioavailability	Biyolojik mevcudiyet	     
 1 Biochemisch	Biyokimyasal	     
 1 Biodegradatie	Biyodegredasyon	     
 1 Bio-Equivalent	Biyoeküvalent, biyo eşlenik, muadil.	     
 1 Biologisch	Biyolojik	     
 1 Biopsie	Biyopsi	     
 1 Biosynthese	Biyosentez	     
 1 Biotransformatie	Biyotransformasyon	     
 1 Breedspectrum	Geniş spektrum	     
 1 Bronchiaal	Bronşiyal	     
 1 Bronchitis	Bronşit	     
 1 Bronchopneumonie	Bronşiyal pnömoni (zatürre)	     
 1 Bronchus	Bronş, bronşlardan her biri	     
 1 Calcificatie	kireçle?me, kemikle?me, Ca birikimi	     
 1 Calciurie	idrarda kalsiyum görülmesi	     
 1 Candidiasis	Canddidaz, Candida enfeksiyonu.	     
 1 Capaciteit	kapasite	     
 1 Capillair	kapillar	     
 1 Carcinogeen	kanserojenik, kanser yap?c?	     
 1 Cardiaal	Kalp ile alakal?	     
 1 Cardiogeen	Cardiogenic	     
 1 Cardiologisch	Kalp ile alakal?, ilintili.	     
 1 Cardiomegalie	Kalp büyümesi, kardiyomegali	     
 1 Cardiorespiratoir	Kalp-Solunum alakal?	     
 1 Cardioselectief	Cardioselective	     
 1 Cardiotoxisch	Kalbe toksik, kalp zehirleyici	     
 1 Cardiovasculair	kalp-damar sistemi (kalp damar cerrahisi ifadesindeki gibi)	     
 1 Castratie	K?s?rla?t?rma, eneme, burma	     
 1 Cataract	Katarakt	     
 1 Catheterisatie	Kateterleme	     
 1 Catheter	Kateter	     
 1 Caudaal	Kuyurk, kuyruk alakal?	     
 1 Causaal	neden, sebep	     
 1 Caviteit	çukur, girinti, delik	     
 1 Cellulitis	Selülit	     
 1 Celmembraan	Hücre zar?, hücre membran?	     
 1 Cerebellair	Beyincik alakal?,	     
 1 Cerebraal	Serebrum	     
 1 Cerebrospinaal	beyin-omurilik	     
 1 Cerebrovasculair	beyin damarlar? (sistemi), beyin damar?	     
 1 Cervicaal	servikal, serviks alakal?	     
