 1 0.6cm/left parasternal long-axis view of the right ventricle (RV	0.6/VD en PSG	     
 1 17a-dihydroequilin	17a-dihydroéquiline	     
 1 19-norprogesterone	19-norprogestérone	     
 1 1 placement procedure, 1 follow-up examination (here)	une pose, un controle (ici)	     
 1 2:1 AV block; 2:1 AV conduction	2/1  deux sur un	     
 1 2-(bromomethoxy)ethyl acetate	acétate d'éthyle ...	     
 1 3:1 AV block; 3:1 AV conduction	3/1  trois sur un	     
 1 36,500 ng/mL	36'500	     
 1 a 12 or above inclusive	score MMSE égal ou supérieur à 12	     
 1 a 5-alpha reductase inhibitor for benign prostatic hyperplasia	inhibiteur de la 5-alpha réductase dans le traitement de l'hyperplasie bénigne de la prostate	     
 1 AAA	AAA	     
 3 AA	Ambient air	     
 1 abarticular gout	goutte abarticulaire	     
 2 Abbreviation	Entire Word	     
 1 ABC(s)	ABC = transporteurs ABC	     
 1 abdomen	abdomen	     
 1 abdominal	abdominal	     
 2 abdominal aortic aneurysm	anévrisme de l'aorte abdominale	     
 1 abdominal ascitic extravasation	épanchement ascitique abdominale	     
 1 abdominal cavity	cavité abdominale	     
 1 ABDOMINAL PAIN	douleur abdominale	     
 1 abdominal pain	douleur abdominale	     
 1 abdomino-pelvic cavity	cavité abdomino-pelvienne	     
 1 abduction	abduction	     
 2 abnormalities	anomalies	     
 2 abnormality, anomaly, defect	anomalie	     
 1 abnormal pap smear	frottis anormal	     
 1 Abortion rate	Indice d'avortement (dénominateur: femmes en âge de procréer)	     
 1 Abortion ratio	Ratio d'avortement (dénominateur: naissances vivantes)	     
 2 about Formulary and stocks	ici traduction d'une phrase concernant les formulaires hospitaliers pouvant être utile aux autres traducteurs.	     
 1 above conventional clinical measures	augmentation des valeurs supérieure à la moyenne des constantes cliniques	     
 1 abrasing, planing	abrasion	     
 1 abrupt closure	fermeture brutale	     
 1 Abscess	Abcès	     
 3 abscess	abcès	     
 1 Abscissa	Abscisse	     
 1 absent P wave; P wave fails to appear; P wave is dropped	il manque une onde P	     
 1 absolute	Numération absolue ou nombre absolu (dans tous les cas) de...	     
 1 Absolute risk	Risque absolu	     
 1 absorption	absorption	     
 1 abstractor	enquêteur	     
 1 abuse	abus	     
 1 Acarid	Acarien	     
 1 Acceptable risk	Risque acceptable	     
 1 access	abord vasculaire	     
 1 access failure	défaillance de l'accès vasculaire/veineux	     
 1 accessory	accessoire	     
 1 accessory pathway; [occ] accessory connection	voie accessoire	     
 1 access point	abord	     
 1 accident and emergency department (emergency room)	service des urgences (salle des urgences)	     
 1 Accrual	Recrutement	     
 1 accumulates	Voir ci-dessous	     
 2 Accupril	Accupril	     
 1 Accuracy	Justesse Exactitude	     
 6 ACE Inhibitors	angiotensin converting enzyme inhibitor	     
 2 acetabular	acétabulaire	     
 1 acetabular	cotyloïdien	     
 2 acetabulum	acetabulum	     
 1 acetabulum, insert	cotyle	     
 1 acetate	acétate	     
 2 achondroplasia	achondroplasie	     
 1 Achromia	Achromie	     
 2 Acibenzolar-S-methyl	acibenzolar-S-méthyle	     
 1 acid barrier compound	antiacide (gastrique)	     
 2 acidifying	acidifiante	     
 1 acid reflux	reflux acide	     
 1 ACL code (ACL = French technical association which groups together the entire Healthcare profession	code ACL	     
 1 Acne	Acné	     
 1 Acne rosacea	Acné rosacée	     
 1 acne rosacea	couperose	     
 1 Acne solaris	Acné solaire	     
 1 aconitine	aconitine	     
 1 Acquaintance network	Réseau de personnes de connaissance	     
 2 acquired	acquise	     
 1 acquired cystic kidney	kystes rénaux acquis	     
