 1 1. adjacent segment disease (neur.); 2. atrial septal defect	ASD	     
 1 1. adventitious lung sounds; 2. amyotrophic lateral sclerosis; 3. antilymphocyte serum	ALS	     
 1 1. alkaline phosphatase; 2. aminopyridine; 3. anterio-posterior	AP	     
 1 1. arteriovenous; 2. atrioventricular	AV	     
 1 1. carbuncle (skin infection); 2. anthrax (zoonitic disease)	anthrax (FR)	     
 1 1st neonatal screening	U1	     
 1 1) acorea; absence of pupil. 2) acoria	Akorie	     
 1 1) Antistreptolysinreaktion: antistreptolysin reaction. 2) Achillesehnenreflex: ankle jerk	ASR	     
 1 1) Blutkörperchensenkungsreaktion: ESR. 2) Bizepssehnenreflex: biceps reflex	BSR	     
 1 1) B virus. 2) hepatitis B virus. 3) influenza virus serotype B	B-Virus	     
 1 1) Charcot's syndrome, intermittent claudication. 2) amyotrophic lateral sclerosis	Charcot* Syndrom	     
 1 1) outpatient department. 2) ambulance	Ambulanz	     
 1 1) reception; admission. 2) radiograph; picture; view. 3) uptake; intake	Aufnahme	     
 1 1) respiration; breathing. 2) breath sounds; auscultatory respiration.	Atmen	     
 1 2-3 fingerbreadths	2-3 QF / 2-3 Querfinger	     
 1 24-hour ECG	Langzeit EKG	     
 1 24-hour	Langzeit	     
 1 2-acteylaminofluorene	AAF	     
 1 2nd neonatal screening	U2	     
 1 2-vessel disease	2-Gefäßerkrankung	     
 1 3-point crutch gait	3-Punkte-Gang	     
 1 3-way-oriented	3-fach orientiert	     
 1 50 bpm	50/min	     
 1 90 degree (hip) flexion and image intensifier	Böcklilagerung / BV	     
 1 A1 pulley	A1 Ringband	     
 1 AA	AA	     
 1 Aappendectomy	AE	     
 1 AB0 blood group system	AB0-Blutgruppensystem	     
 1 AB0 incompatibility	AB0-Inkompatibilität	     
 1 abacterial	abakteriell	     
 1 Abadie's sign; Abadie-Rocher sign	Abadie*(-Rocher*) Zeichen	     
 1 A band; anisotropic disk	A-Bande	     
 1 ab (antibody)	AK (Antikörper)	     
 1 abarognosis	Abarognosis	     
 1 abasia	Abasia, Abasie	     
 1 abasia	Abasie	     
 1 abatic; abasic	abatisch	     
 1 Abbe counting chamber; Abbe-Zeiss apparatus	Abbe* Zählkammer	     
 1 ABC (= airway, breathing, circulation) of cardiopulmonary resuscitation	ABC-Maßnahmen	     
 1 Abderhalden protective ferments	Abderhalden* Abwehrfermente	     
 1 abdomen	Abdomen	     
 1 Abdomen, Abdominis (n.)	Bauch (m.) / Abdomen (n.)	     
 1 abdomen	Bauch	     
 1 abdomen; belly	Bauch	     
 1 abdominal	abdominalis	     
 1 abdominal	abdominal	     
 1 abdominal aorta	Aorta abdominalis	     
 2 abdominal aorta	Bauchaorta	     
 1 abdominal aortic aneurysm	AAA	     
 2 abdominal apron	Fettbürzel	     
 1 abdominal ballottement; vaginal ballottement	Ballottement des kindlichen Kopfes	     
 1 abdominal breathing	Bauchatmung	     
 2 abdominal cavity	Bauchhöhle	     
 1 abdominal cavity	Bauchraum	     
 1 Abdominal digiti minimi muscle	M. abd. Digiti minimi	     
 1 abdominal dropsy; ascites	Bauchwassersucht	     
 1 abdominal fistula	Bauchfistel	     
 1 abdominal incision; laparotomy.	Bauchdeckenschnitt	     
 1 abdominal incision; laparotomy	Bauchschnitt	     
