 1 3-(2,2,2-TRIMETHYLHYDRAZINIUM) PROPIONATE SALTS FOR TREATING MYOCARDIAL INFARCTI	Προπιονικά άλατα του τριμεθυλο-υδραζινίου	     
 1 5-hydroxytryptamine:	5-υδροξιτρυπταμίνη	     
 1 5-hydroxytryptamine	σεροτονίνη, 5-υδροξυτρυπταμίνη	     
 1 abductor digiti minimi pedis	απαγωγός του μικρού δακτύλου του ποδός	     
 1 abductor digiti minimi	απαγωγός του μικρού δακτύλου	     
 1 abductor digiti quinti pedis	απαγωγός του μικρού δακτύλου του ποδός	     
 1 abductor digiti quinti	απαγωγός του μικρού δακτύλου	     
 1 abductor muscle	απαγωγός μυς	     
 1 abductor ossis metatarsi quinti	απαγωγός των οστών του μετακαρπίου	     
 1 abductor pollicis brevis	βραχύς απαγωγός του αντίχειρα	     
 1 abductor	απαγωγός	     
 1 aberrant clone:	απαγορευμένος κλώνος	     
 1 ABO blood group system:	σύστημα ομάδων αίματος ΑΒΟ	     
 1 abscess	απόστημα	     
 1 absolute differential	απόλυτος διαφορικός τύπος	     
 1 absolute mean deviation	μέση απόλυτη απόκλιση	     
 1 absolute neutrophil count	απόλυτος αριθμός ουδετερόφιλων	     
 1 absorbance	απορρόφηση	     
 1 absorption filters	φίλτρα απορρόφησης	     
 1 absorption:	απορρόφηση	     
 1 Absorption	Απορρόφηση	     
 1 absorption:	προσρόφηση	     
 1 absorptivity	απορροφητικότητα	     
 1 accelerator urinae	βολβοσηραγγώδης μυς	     
 1 accepted reference value	αποδεκτή τιμή αναφοράς	     
 1 accessory cell:	συνοδά κύτταρα	     
 1 accuracy	ακρίβεια	     
 1 ACE inhibitor	αναστολέας ΜΕΑ	     
 1 Achilles' tendonitis	τενοντίτιδα του αχίλλειου τένοντα	     
 1 acid reflux	παλινδρόμηση οξέων	     
 1 ACL, anterior cruciate ligament of the knee	Π.Χ.Σ. γόνατος, πρόσθιος χιαστός συνδεσμός γόνατος	     
 1 Acoustic lenses or curved elements as a means of focusing the beam	Ακουστικοί φακοί ή καμπύλα στοιχεία σαν μέσο εστίασης της δέσμης	     
 1 Acoustic lens	Ακουστικός φακός	     
 1 Acoustic mirror	Ακουστικός καθρέπτης	     
 1 activated lymphocyte:	ενεργοποιημένο λεμφοκύτταρο	     
 1 activated macrophage:	ενεργοποιημένο μακροφάγο	     
 1 activation analysis	ανάλυση με ενεργοποίηση	     
 1 activation polarization	πόλωση ενεργοποιήσεως	     
 1 Activation	Ενεργοποίηση	     
 1 active comparator study (active comparator period)	μελέτη σύγκρισης με ενεργό παράγοντα [clinical trials]	     
 1 active-controlled	ελεγχόμενη με δραστικό φάρμακο [clinical trials]	     
 1 active immunity:	ενεργητική ανοσία	     
 1 active immunization:	ενεργητική ανοσοποίηση	     
 1 active-implantable devices	ενεργά εμφυτεύσιμα προϊόντα	     
 1 Active Substance Content on the Package	Π.Δ.Σ Περιεκτικότητα σε Δραστική Ουσία στη Συσκευασία	     
 1 activity reference time	χρόνος αναφοράς της ραδιενέργειας	     
 1 acupuncture	βελονισμός	     
 1 acute lymphoblastic leukaemia (ALL):	οξεία λεμφοβλαστική λευχαιμία	     
 1 acute myeloblastic leukaemia (ΑΜL):	οξεία μυελοβλαστική λευχαιμία	     
 1 acute phase reactants:	ουσίες οξείας φάσης	     
 1 acute respiratory distress syndrome (ARDS):	σύνδρομο οξείας αναπνευστικής ανεπάρκειας	     
 1 Addison's disease:	νόσος του Addison	     
 1 addressin:	αντρεσίνη	     
 1 adductor hallucis	προσαγωγός του μεγάλου δακτύλου του ποδιού	     
 1 adductor magnus	μέγας προσαγωγός	     
 1 adductor muscle	προσαγωγός μυς	     
 1 adductor pollicis	προσαγωγός του αντίχειρα	     
 1 adductor	προσαγωγός	     
 1 adenosine deaminase deficiency:	ανεπάρκεια απαμινάσης της αδενοσίνης	     
 1 adhesion molecules:	μόρια προσκόλλησης	     
 1 adjuvant arthritis:	αρθρίτιδα από ανοσοενισχυτικό	     
 1 adjuvant disease:	νόσημα από ανοσοενισχυτικό	     
