 1 accident	haadsaa	     
 1 afflicted	pidit	     
 1 agoraphobia	khule sthano ki bhiti	     
 1 anxiety disorder	chintajanya vikaar	     
 1 attack	aakrmann	     
 1 baby	bachha	     
 1 bacteria germ	jivanu	     
 1 blood	rakt	     
 1 Brain	mashtishk	     
 1 brown	bhure	     
 1 bumps	dhumde	     
 1 Capacity	kshamta	     
 1 cervix	garbhashay	     
 1 cheek	gaal	     
 1 Cold	thanda	     
 1 community	samudaya	     
 1 Condition	sthiti	     
 1 Constant	nirantar	     
 1 Cough	khansi	     
 1 dead	mrutak	     
 1 Dentist	dent chikitsak	     
 2 Difficulty in breathing	saans lene mein kathinayi	     
 1 Digestion	paachan	     
 1 disease	bimari	     
 1 disorder	vikaar	     
 2 edge	kinara	     
 1 Epilepsy	Mirgi	     
 1 express	vyakt	     
 1 Eye	aankh	     
 1 Fall	girna	     
 1 Family	parivaar	     
 1 Foot	paer	     
 1 for	hetu	     
 1 Foul smell	durgandh	     
 1 Freshness	taazgi	     
 1 future	bhavishya	     
 1 Gonorrhea	sujaak	     
 1 grey	sleti	     
 1 guidelines	marg nirdesh	     
 1 heart disease	hriday rog	     
 1 holes	gaddhe	     
 1 hurts while peeing	mutr  utsarjan ke samay pida hoti hai	     
 1 infected person	sankramit vyakti	     
 1 infected	sankramit	     
 1 initial	prarambhik	     
 1 injured	ghayal	     
 1 In men	purushon mein	     
 1 In women	istriyon mein	     
 1 itching	khujli	     
 1 Jaw	jabda	     
 1 Joint	jod	     
 1 knee	ghutna	     
 1 lice	joon	     
 1 Lips	hont	     
 2 liquid	drav	     
 1 liquid medicine	taral aushadhi	     
 1 liquid	taral	     
 1 Loose motions	dasta	     
 1 lumps	pind	     
 1 medication	dava upchaar	     
 1 medicine	aushadhi	     
 1 mental	maansik	     
 1 mild	halke	     
 1 more	adhik	     
 1 more serious disease	adhik gambhir bimari	     
 1 mouth	mukh	     
 1 multilingual	bahubhashi	     
 1 Narrow	sankra	     
 1 Nose	naak	     
 1 often	aksar	     
 1 Pain	dard	     
 1 painless	dard vihin	     
 1 panic	santraas	     
 1 penis	shishn	     
 1 physician	chikitsak	     
 1 Pleasant smell	sugandh	     
 1 pressure	dabaav	     
 1 preventable	roka ja sakta hai	     
 1 Profuse	atyaadhik	     
 1 purpose	uddeyshya	     
 1 raised	uthe hue	     
 1 rash	dadora	     
 1 Room	kamra	     
 1 scabies	paamaa	     
 1 serious	gambhir	     
 2 sex	sambhog	     
 1 Sexually transmitted diseases	yaun sancharit rog	     
 1 size	aakaar	     
 1 skin	tvacha	     
 1 Sleep	nidra	     
 1 smear	lep	     
 1 Smell	gandha	     
 1 Sneeze	chheenk	     
 1 Sour	khatta	     
 1 Specialist	visheshagya	     
 1 Strength	shakti	     
 1 strong	jabardast	     
 1 suicidal	aatmghati	     
 1 Sweet	meetha	     
 1 symptoms appear	lakshan prakat hona	     
 1 symptoms	lakshan	     
 1 syphlis	updensh	     
 1 test	janch	     
 1 Tongue	jeebh	     
 1 Tooth	daant	     
 1 Touch	chhuna	     
 1 treatable	ilaaj sambhav hai	     
 1 treatment	ilaaj	     
 1 Treatment	upchaar	     
 1 untreated	ilaj na hona	     
 1 urination	mutr  utsarjan	     
 1 urine	mutr	     
 1 Useful	upyogi	     
 1 very small	sookshm	     
 1 vinegar	sirka	     
 1 Vomit	ulti	     
 1 white coloured	shvet	     
 1 wind pipe	shwas naali	     
 1 Worms	kide	     
 1 wrap	lep	     
