 2 2-dimensional echocardiography	2-dimenziós echocardiographia	     
 1 AAA	abdominal aortic aneurysm,	     
 1 abarognosis	abarognózis,	     
 1 abdomen	abdomen,	     
 1 abdominal	abdominális,	     
 1 abdominal cavity	hasüreg, cavum abdominis	     
 1 abdominal typhus	hastífusz, typhus abdominalis	     
 1 abdominal wall	hasfal	     
 1 abdominocentesis	abdominocentesis,	     
 1 abduction	abdukció,	     
 1 abductor	távolító, abducens	     
 1 abesence	hiány, valami hiánya	     
 1 abia	labia, ajkak	     
 1 ablation	ablatio,	     
 1 abnormal glucose tolerance test	lásd: abnormal, lásd: glucose tolerance test	     
 1 abnormal	rendellenes	     
 1 aboral	aborális,	     
 1 abortion	vetélés, abortusz	     
 1 above-	szuper-, super-, felett-	     
 1 abrasion	abrázió,	     
 1 absces	abscessus,	     
 1 absolute neutrophil count	A.N.C., abszolút neutrofil szám	     
 1 absorbable sutures	felszívódó varratok	     
 1 absorption	abszorpció,	     
 1 abstinence	absztinencia,	     
 1 abuse	abúzus,	     
 1 acalculia	számolási képtelenség, acalculia	     
 1 acanthoma	hámdaganat, acanthoma	     
 1 acanthosis	acanthosis,	     
 1 acantho	tövis, spina akanto-	     
 1 acariasis	acariasis,	     
 1 acceleration	gyorsulás, akcelerácó	     
 1 accentuation	accentuatio,	     
 1 acceptability	elfogadhatóság	     
 1 accessory	accessorius,	     
 1 accident	baleset	     
 1 accompanying	concomitans, kísérő concomitant	     
 1 according to the rules	lege artis, szabályszerűen	     
 1 accumulation	felhalmozás, akkumuláció	     
 1 acetabulum	acetabulum,	     
 1 acetylcholinesterase	acetilkolineszteráz,	     
 1 Achilles tendon	tendo calcaneus, Achilles ín,	     
 1 achlorhydria	achlorhydria,	     
 1 achromatopsy	colorblindness, achromatopsia,	     
 1 acid	acidum,	     
 1 acid breakthrough	savvisszaáramlás, A sav visszaáramlása a gyomorból a nyelőcsőbe., saváttörés,	     
 1 acidity	savasság, aciditás	     
 1 acme	akme, csúcspont	     
 1 acne	pattanás, akne pimple	     
 1 acquired	szerzett, aquisitus	     
 1 acral	acralis,	     
 1 acral edema	végtagvizenyő, acroödéma	     
 1 acro-	csúcs-, akro-	     
 1 acrocyanosis	acrocyanosis,	     
 1 acromioclavicular	acromioclavicularis,	     
 1 acromion	akromion, vállcsúcs,	     
 1 acrophobia	magasságiszony, akrofóbia	     
 1 acting out	Az előzőleg elnyomott emóciók kimutatása, ami főleg tettekben, mint szavakban nyilvánul meg. Elmegyógyászatban gyógyító hatásúnak tartják. Megnyilvánulhat ellenőrizhetetlen kirobbanás formájában.	     
 1 actinomycosis	actinomycosis,	     
 1 active comparator	aktív összehasonlító készítmény	     
 1 activity	aktivitás, tevékenység	     
 1 acuity	acuitas,	     
 1 acustic	akusztikai, hallási	     
 1 acustic nerve	hallóideg, nervus acusticus	     
 1 acute	acutus,	     
 1 acute anterior poliomyelitis	A gerincvelő elülső szarvainak poliomyelitis vírus fertőzés okozta gyulladása. Jellemzői a láz, fájadalom, gyomor és bélrendellenességek, flacid paralízis és az izomcsoportok atrófiája., Heine-Medin betegség., Heine-Medin disease, akút anterior poliomyelitis,	     
 1 acute hematogenous osteomyelitis	akút vér által okozott csontvelőgyulladás	     
 1 Adam's apple	Ádámcsutka,	     
 1 adaptation	adaptáció,	     
 1 addiction	addictio,	     
 1 addictive	addiktív,	     
 1 addictologist	addiktológus,	     
 1 adducent	közelítő, adducens	     
 1 adduction	addukció,	     
 1 adduction	közelítés, addukció	     
 1 adenectomy	adenectomia,	     
 1 adenitis	adenitis, mirigygyulladás	     
 1 adenocarcinoma	adenocarcinóma, mirigyrák/daganat	     
 1 adenocortycotropic hormone (ACTH)	adenokortikotrop hormon,	     
 1 adenoids	orrmandulák, nyirokszövet masszák a torok felső részében az orr mögött	     
 1 adenoid vegetations	garatmandula túlburjánzás, adenoid vegetáció	     
 1 adenoma	mirigyhámból eredő jóindulatú daganat,	     
 1 adrenal cortex	mellékvese-kéreg	     
 1 adrenal glands	mellékvesék	     
 1 adverse cardiac effects	nem kívánatos cardialis mellékhatás	     
 1 adverse event	nem kívánatos esemény	     
 1 adverse	kedvezőtlen	     
 1 adverse reaction	nem kívánatos esemény	     
 1 afterload	utóterhelés	     
 1 agent	hatóanyag, szer	     
 1 alertness	éberség	     
 1 -algia	-fájdalom, -algia, -dynia	     
 1 all-cause death	bármely okból bekövetkező halál	     
 1 allograft	Szövet, vagy szerv átültetése két azonos fajtájú éllőlény között, akiknek viszont különböző a genotípusa.,	     
 1 allopathic	lásd: heteropathic	     
 1 alloved	megengedett	     
 1 altered mental status	megváltozott mentális státus	     
 1 alturist	altruista,	     
 1 alveolitis	az alveolus gyulladása, alveolitis	     
 1 alveolus dentalis	fogmeder	     
 1 alveolus	meder	     
 1 alveolus pulmonis	tüdő-léghólyagocska	     
 1 Alzheimer's disease	Alzheimer betegség, (témák)	     
 1 amaurosis	amaurosis, vakság	     
 1 amblyopia	tompa látás, amblyopia, látásgyengülés	     
 1 amenorrhea	a menstruáció hiánya, amenorrhoea	     
 1 aminotransferase	lásd: transaminase	     
 1 amnesia	amnézia, emlékezetvesztés	     
