 1 12-HETE	12-hydroxyeicosatetraenoic acid (Acido 12-idrossieicosatetraenoico)	     
 1 131I, I131	Iodio131 (isotopo radioattivo dello iodio di peso atomico 131)	     
 1 17-KS	17-chetosteroidi	     
 1 17 OH	17 Hydroxy Steroid (17-idrossi-steroidi)	     
 1 17-OHCS	17-hydroxycortico-steroids (17-idrossicorticosteroidi)	     
 1 17-OHP	17-idrossi-progesterone	     
 1 (1-substituted)-2-oxo-benzimidazol-3-yl	(1-sostituito)-2-osso-benzimidazol-3-ile	     
 1 25-OH-D	25-hydroxy-cholecalciferol	     
 1 25-OHD	25-hydroxyvitamin D (25-idrossivitamina D)	     
 1 2D and MM	modalità 2D e M-mode (Motion mode)	     
 1 2H	deuterio	     
 1 2nd floor - A&E staircase (or E.R. stair access)	Il piano scala P.S.	     
 1 2PD	two Point Discrimination (discriminazione di due punti)	     
 1 2‑sided exact test	test esatto a due code	     
 1 2 stage phase II trial	sperimentazione di fase II a doppio stadio	     
 1 30-day visit	visita a 30 giorni/visita di controllo a 30 giorni/controllo a 30 giorni	     
 1 30-second ECG waveform	forme d'onda registrate nei 30 secondi (ECG)	     
 1 3-1H-benzimidazol-2-one	3-1H-benzimidazol-2-one	     
 1 3/6 systolic murmur in the mesocardium	SS 3/6 al mesocardio	     
 1 3AB	3-aminobenzamide	     
 1 3DCT	Three Dimensional (surface) CAT scan reconstruction images (immagini tridimensionali ricostruite da TC di superficie)	     
 1 3D-MRA	three-Dimensional Magnetic Resonance Angiography (angio-Risonanza Magnetica tridimensionale)	     
 1 3DRT	Three-Dimensional Radiation Therapy (radioterapia tridimensionale)	     
 1 3-DV	three dimensional visualization (visualizzazione tridimensionale)	     
 1 3-GPA	3-guanidinopropionic acid (acido 3-guanidiopropionico)	     
 1 3H	Tritio	     
 1 3TC	Lamivudina	     
 1 4-aminoantipyrine (4-AAP)	4-aminoantipirina	     
 1 4E	four-Plus Edema (Edema ++++)	     
 1 5.0 mm metal (suture) anchor preloaded with 3 higly resistant sutures	ancorina metallica 5.0 mm a 3 fili ultraresistenti	     
 1 5/8 – 18 tapped hole	foro maschiato 5/8-18	     
 1 5-ASA	5-amino-2-hydroxy-benzoic acid (mesalazina)	     
 1 5-FU	5-Fluoro-Uracil (5-Fluoro-uracile)	     
 1 5-HETE	5-Hydroxyeicosatetaraenoic Acid	     
 1 5-HIAA	5-Hydroxyindolacetic acid (acido 5-idrossiindolacetico)	     
 1 5-HT	5-Hydroxytryptamine (5-idrossitriptamina o serotonina)	     
 1 5 molar %	5 % molare	     
 1 5'UTR	Untranslated Regions in HCV Genome	     
 1 6-MAM	6-Monoacetylmorphine	     
 1 6-OHDA	6-hydroxydopamine (6-idrossidopamina)	     
 1 6-PGD	6-phosphogluconate dehydrogenase (6-fosfogluconato deidrogenasi)	     
 1 7(R)-hydroxy group	gruppo 7 (R)-idrossilico	     
 1 8-MOP	8-methoxypsoralen (8-metossi-psoralene)	     
 1 95% CI for difference: [ X %, Y %]	intervallo di confidenza al 95% per la differenza:	     
 1 A1 and B red blood cells	globuli rossi (di sottogruppo sanguigno) A1 e B	     
 1 AAA	Abdominal Aortic Aneurysm (aneurisma dell'aorta addominale)	     
 1 AAA	Acute Attack of Anxiety (attacco acuto di ansia)	     
 1 AAA	Adenine-Adenine-Adenine (codone per la lisina)	     
 1 aa., aa. Pt. Aequ.	ana partes aequales - in parti uguali [nella ricetta medica]	     
 1 AAA	Aromatic Amino Acid	     
 1 AAAASF	American Association for Accreditation of Ambulatory Surgery Facilities	     
 1 A,a	Abortion (aborto)	     
 1 AA	Acron. for Australian Antigen	     
 1 AAA	diagnostic Arthroscopy, operative Arthroscopy, and possible operative Arthrotomy (artroscopia diagnost operatoria)	     
 1 a.a.	ana partes aequales (in parti uguali) [nella ricetta medica]	     
 1 aa	anni	     
 1 A,a	Ante (Prima)	     
 1 AAAP	Activity of AntiActivator in plasma (attività plasmatica dell'antiattivatore)	     
 1 A,a	Arteria	     
 1 aa	arterie	     
 1 a-A	arterioso-alveolare	     
 1 aa	arti	     
 1 A,a	Assessment (valutazione)	     
 1 AABB	American Association of Blood Banks	     
 1 AAC	Adenine-Adenine-Cytosine (codone per l'asparagina)	     
 1 AAC	Antigen-Antibody Complex (complesso antigene-anticorpo)	     
 1 AACPDM	American Academy for Cerebral Palsy and Developmental Medicine (also: AAOS Specialty Societies)	     
 1 AACR	American Association for Cancer Research	     
 1 AAD	Acroangiodermatitis	     
 1 aa	(dal greco: Ana) di ciascuno	     
 1 Aad	aminoadipic acid (acido aminoadipico)	     
 1 AADC	Amino Acid Decarboxylase (aminoacido decarbossilasi)	     
 1 AADI	Anterior Atlantodental Interval	     
 1 AADPPO	Alveolar-Arterial Difference in Partial Pressure of Oxygen	     
 1 A	Adulti	     
 1 AAE	American Association of Endodontists	     
 1 AAE	Antigene Associato all'Epatite	     
 1 AAETS	American Academy of Experts in Traumatic Stress	     
 1 AAF	Anterior Auditory Field (campo uditivo anteriore)	     
 1 AAF	Astrocytoma with Atypical/Anaplastic Foci (astrocitoma con foci atipici/anaplastici)	     
 1 AAF/OL	Anaplastic Astrocytomas/Oligodendrogliomas (astrocitomi anaplastici/oligodendrogliomi)	     
 1 AAFP	American Academy of Family Physicians	     
 1 AAG	Adenine-Adenine-Guanine (codone per la lisina)	     
 1 AAG	Anemia Aplastica Grave	     
 1 AAHKS	American Association of Hip and Knee Surgeons	     
 1 AAHS	American Association for Hand Surgery	     
 1 AAL	Anterior Axillary Line (linea ascellare anteriore)	     
 1 A	Alveolare	     
 1 AAMC	Association of American Medical Colleges	     
 1 AAME	Advancement of Medical Instrumentation [Standards]	     
 1 AAMI	Advancement of Medical Instrumentation	     
 1 AAMI	Anterior Acute Myocardial Infarction (infarto acuto del miocardio anteriore)	     
 1 A	Ampère	     
 1 AAMT	American Association for Medical Transcriptionists	     
 1 AANA	Arthroscopy Association of North America	     
 1 AAN	American Academy of Neurology	     
 1 AANOS	American Academy of Neurological and Orthopaedic Surgeons	     
 1 AANS	American Association of Neurological Surgeons	     
 1 a	ante, arteria, arteriosus, auris (prima, arteria, arterioso, orecchio)	     
 1 AAO	American Academy of Ophthalmology	     
 1 AAo	Ascending Aorta (aorta ascendente)	     
 1 AAOC	Antacid Of Choice (antiacido di scelta)	     
 1 AAofA	Ambulance Association of America	     
 1 AAOFAS	American Association of Orthopaedic Foot and Ankle Surgeons	     
 1 AAOHN	American Association of Occupational Health Nurses	     
 1 AAOHNS	American Academy of Otolaryngology-Head And Neck Surgery	     
 1 AAOM	American Academy of Oral Medicine	     
 1 AAOO	American Academy of Ophthalmology and Otolaryngology	     
 1 AAOP	American Academy of Oral Pathology	     
 1 AAOP	American Academy of Orthotists and Prosthetists	     
 1 AAOPP	American Association of Osteopathic Postgraduate Physicians	     
 1 AAOS	American Academy of Orthopaedic Surgery	     
 1 AAOT	Asociacion Argentina de Ortopedia y Traumatologia (Argentinian Orthopaedic Association)	     
 1 AAOx3	awake, alert and oriented x 3 (to person, place and time) (lucido, vigile e orientato rispetto alle persone, spazio e tempo)	     
 1 AaP02	(A-a) P02 / differenza della tensione alveolo-arteriosa di ossigeno)	     
 1 AAPA	American Academy of Physician Assistants	     
 1 AAPA	American Association of Pathologist Assistants	     
 1 AAP	Air at Atmospheric Pressure (aria a pressione atmosferica)	     
 1 AAP	American Academy of Pediatrics	     
 1 AAP	American Academy of Pedodontics	     
 1 AAP	American Academy of Periodontology	     
 1 AAP	American Academy of Psychoanalysis	     
 1 AAP	American Academy of Psychotherapists	     
 1 AAP	American Association of Pathologists	     
 1 AAP	AminoAntiPyrine (aminoantipirina)	     
 1 AAP	Association for the Advancement of Psychoanalysis	     
 1 AAP	Association of Academic Physiatrists	     
 1 AAP	Association of American Physicians	     
 1 AAPB	American Association of Pathologists and Bacteriologists	     
 1 AAPC	Antibiotic-Associated Pseudomembranous Colitis (colite pseudomembranosa antibiotico-associata)	     
 1 AAPCC	Adjusted Annual Per Capita Cost (costo pro capite annuale adattato)	     
 1 AAPCC	Adjusted Average Per Capita Cost (costo pro capite medio adattato)	     
 2 AAPCC	American Association of Poison Control Centers	     
 1 AaPco2, (A- a)Pc02	alveolo-arterial carbon dioxide tension difference (differenza alveolo-arteriosa della tensione di anidride carbonica)	     
 1 AAPF	Anti-Arteriosclerosis Polysaccharide Factor (fattore polisaccaridico antiaterosclerosi)	     
 1 AAPH	2,2'-azobis-(amidinopropane) dihydrochloride	     
 1 AAPHD	American Association of Public Health Dentists	     
 1 AAPHP	American Association of Public Health Physicians	     
 1 a	Apical (apicale)	     
 1 AAPL	American Academy of Psychiatry and the Law	     
 1 AAPM	American Academy of Pain Medicine	     
 1 AAPM	American Association of Physicists in Medicine	     
 1 AAPMC	Antibiotic-Associated PseudoMembranous Colitis (colite pseudomembranosa antibiotico-associata)	     
 1 AAPM&R	American Academy of Physical Medicine and Rehabilitation	     
 1 AAPMR	American Academy of Physical Medicine and Rehabilitation	     
 1 AAPOS	American Association for Pediatric Ophthalmology and Strabismus	     
 1 AAPP	American Academy on Physician and Patient	     
 1 AAPPO	American Association of Preferred Provider Organizations	     
 1 AAPS	American Association of Plastic Surgeons	     
 1 AAPS	Arizona Articulation Proficiency Scale	     
 1 AAPS	Association of American Physicians and Surgeons	     
 1 AAPSM	American Academy of Podiatric Sports Medicine	     
 1 AAR	Active Avoidance Reaction (reazione di evitamento attiva)	     
 1 AAR	Acute Articular Rheumatism (reumatismo articolare acuto)	     
 1 aar	against all risks	     
 1 AAR	Antigen-Antiglobulin Reaction	     
 1 AARC	American Association for Respiratory Care	     
 1 AARDA	American Autoimune Related Diseases Association	     
 1 AARE	Automobile Accident Rear End	     
 1 AAROM	Active Assertive Range of Motion (ampiezza di movimento attiva	     
 1 AAROM	active assisted range of motion	     
 1 AARP	American Association of Retired Persons	     
 1 AARS	Ascending Activating Reticular System (sistema reticolare attivatore ascendente, ARAS)	     
 1 AAS	Aarskog-Scott [sindrome] (di Aarskog-Scott)	     
 1 AAS	acid aspiration syndrome (sindrome da aspirazione di acido)	     
 1 AAS	alcoholic abstinence syndrome (sindrome da astinenza alcolica)	     
 1 AAS	American Academy of Sanitarians	     
 1 AAS	American Analgesia Society	     
 1 AAS	aneurysm of atrial septum (aneurisma del setto interatriale)	     
 1 AAS	anthrax anti serum (antisiero antracico)	     
 1 AAS	Aortic Arch Syndrome (sindrome dell'arco aortico)	     
 1 AAS	atomic absorption spectrophotometry (spettrofotometria di assorbimento atomico)	     
 1 AASD	American Academy of Stress Disorders	     
 1 aa seq	sequenza aminoacidica	     
 1 AASH	adrenal androgen stimulating hormone (ormone stimolante gli androgeni surrenalici)	     
 1 AASH	American Association for the Study of Headache	     
 1 AASK	African American Study of Kidney Diseases and Hypertension Pilot Study	     
 1 AASK trial	African-American Study of Kidney Disease and Hypertension	     
 1 AASP	acute atrophic spinal paralysis (paralisi spinale atrofica acuta)	     
 1 AASP	American Association of Senior Physicians	     
 1 AASP	ascending aorta synchronized pulsation (pulsazione sincronizzata con l'aorta ascendente)	     
 1 AASS	American Association for Social Security	     
 2 AAST	American Association for the Surgery of Trauma	     
 1 AAT	Aachen Aphasia Test	     
 1 AAT	academic aptitude test (test di attitudine accademica)	     
 1 AAT	Alanine Aminotransferase (alanina aminotransferasi, GPT)	     
 1 AAT	Alfa-1 Antitrypsin (alfa-1 antripsina)	     
 1 AAT	alkylating agent therapy (terapia con agenti alchilanti)	     
 1 AAT	atrial triggered (pacemaker) (a stimolazione atriale)	     
 1 AAT	Auditory Apperception Test (Test di appercezione uditiva)	     
 1 AAT	Automatic Atrial Tachycardia (tachicardia atriale automatica)	     
 1 A	Atomo	     
 1 AATS	American Association for Thoracic Surgery	     
 1 AAU	Acute Anterior Uveitis (uveite anteriore acuta)	     
 1 AAU	Adenine-Adenine-Uracil (codone per l'asparagina)	     
 1 AAV	Adeno-Associated Virus (virus adeno-associati)	     
 1 AAVMC	Association of American Veterinary Medical Colleges	     
 1 AAVP	American Association of Veterinary Parasitologists	     
 1 AAVPT	American Academy of Veterinary Pharmacology and Therapeutics	     
 1 AAVT	Acral Arteriovenous Tumor	     
 1 AAW	Anterior Aortic Wall (parete aortica anteriore)	     
 1 AAWD	American Association of Women Dentists	     
 1 AAWM	American Academy of Wound Management	     
 1 ABA	ABscisic Acid (acido ascisico)	     
 1 ABA	Allergic Bronchopulmonary Aspergillosis (aspergillosi broncopolmonare allergica)	     
 1 ABA	American Board of Anesthesiologists	     
 1 ABA	AntiBacterial Activity (attività antibatterica)	     
 1 AB, Ab	Abortion (aborto)	     
 1 AB, Ab	antibiotic (antibiotico)	     
 1 AB	Abnormal (anormale)	     
 1 abacavir	abacavir	     
 1 AB	ACE® bandage (benda elastica per i polsi o le caviglie usata dagli sportivi)	     
 1 A/B	Acid-Base ratio (rapporto acido base)	     
 1 AB	Active Bilaterally (attivo bilateralmente)	     
 1 abafungin	abafungina	     
 1 AB	Aid to the Blind (programma di aiuto per i ciechi)	     
 1 A>B	Air greater than Bone (conduction) (conduzione aerea maggiore di quella ossea)	     
 1 AB	Alertness Behavior (comportamento di allerta)	     
 1 abamectin	abamectina	     
 1 abandonment of action	rinunzia agli atti del giudizio/waiver of right of action/discharge from prosecution	     
 1 abanoquil	abanochile	     
 1 Ab Antibody	anticorpo	     
 1 Ab	Antibody (anticorpo)	     
 1 AB	Antigen Binding (legante l'antigene)	     
 1 AB	Apex Beat (battito alla punta o apice)	     
 1 A&B	Apnea and Bradycardia (apnea e bradicardia)	     
 1 abarelix	abarelix	     
 1 AB	Asbestos Body (corpi dell'asbesto)	     
