 1 11-beta-hydroxylase deficiency	１１βヒドロキシラーゼ欠損症	     
 1 17,20-desmolase deficiency	１７，２０−デスモラーゼ欠損症	     
 1 17-alpha-hydroxylase deficiency	１７αヒドロキシラーゼ欠損症	     
 1 17 ketosteroids urine decreased	尿中１７ケトステロイド減少	     
 1 17 ketosteroids urine increased	尿中１７ケトステロイド増加	     
 1 17 ketosteroids urine	尿中１７ケトステロイド	     
 1 20,22-desmolase deficiency	２０，２２−デスモラーゼ欠損症	     
 1 21-hydroxylase deficiency	２１−ヒドロキシラーゼ欠損症	     
 1 26,27-Hexafluoro-1α,25-dihydroxyvitamin D3	２６，２ ７ヘキサフルオロ１α２５ ジヒドロキシビタミンＤ３	     
 1 2-Ethylhexyl methoxycinnamate	メトキシケイヒ酸２エチルヘキシル	     
 1 2-Methoxyestradiol	２ メトキシエストラジオール	     
 1 3,4-Diaminopyridine	３ ，４ジアミノピリジン	     
 1 4-Aminopyridine	４ アミノピリジン	     
 1 4-n-Butylresorcinol	ルシノール	     
 1 5-alpha-reductase deficiency	５−αレダクターゼ欠損症	     
 1 5a-reductase inhibition therapy	５ａ還元酵素阻害療法	     
 1 5-HT2A antagonists	セロトニン２Ａ受容体阻害薬	     
 1 5-HT3 antagonists	セロトニン５ＨＴ３ 受容体拮抗薬	     
 2 5-HT (5-hydroxytryptamine)	セロトニン	     
 4 5-hydroxytryptamine (5-HT)	セロトニン	     
 1 5'nucleotidase increased	５−ヌクレオチダーゼ上昇	     
 1 5q-syndrome	５ｑ−症候群	     
 1 6-Benzylaminopurine	サイトプリン	     
 2 AAA (abdominal aortic aneurysm)	腹部大動脈瘤	     
 2 a-ADCO2 (arterial-alveolar carbon dioxide tension difference)	動脈血-肺胞二酸化炭素分圧較差	     
 2 A-aDO2 (aleveolar-arterial oxygen tension difference)	肺胞-動脈血酸素分圧較差	     
 1 Abacavir	ザイアジエン	     
 1 Abacavir	アバカビル	     
 1 Abarelix	アバレリスク	     
 1 Abatacept	アバタセプト	     
 1 Abdo. bloating	腹部膨満	     
 1 Abdomen burning sensation of	腹部灼熱感	     
 1 Abdomen crushing	腹部圧挫	     
 1 Abdomen enlarged feeling of	腹部膨満感	     
 1 Abdomen enlarged	腹部腫脹	     
 1 Abdomen mimicking acute	急性腹部痙攣	     
 1 Abdominal actinomycotic infection	放線菌性腹部感染	     
 1 Abdominal adhesions	腹部癒着	     
 2 abdominal aorta	ふくぶだいどうみゃく	     
 2 abdominal aorta	腹部大動脈	     
 2 abdominal aortic aneurysm (AAA)	ふくぶだいどうみゃくりゅう	     
 2 abdominal aortic aneurysm (AAA)	腹部大動脈瘤	     
 1 Abdominal bloating	腹部膨満	     
 2 abdominal breathing	ふくしきこきゅう	     
 2 abdominal breathing	腹式呼吸	     
 1 Abdominal catastrophe	腹部カタストロフ	     
 1 Abdominal colic	腹部仙痛	     
 1 Abdominal cramps	腹部仙痛	     
 1 Abdominal crampy pains	腹部仙痛	     
 1 Abdominal cramp	腹部仙痛	     
 1 Abdominal discomfort	腹部不快感	     
 1 Abdominal distension gaseous	ガス性腹部膨満	     
 1 Abdominal distension	腹部膨満	     
 2 abdominal distention	ふくぶぼうまん、ふくぶぼうりゅう	     
 2 abdominal distention	腹部膨満	     
 1 abdominal distention	腹部膨隆	     
 1 Abdominal distress	腹部苦悶	     
 1 Abdominal fullness	腹部膨満	     
 1 Abdominal guarding	腹壁防御	     
 1 Abdominal mass NOS	腹部腫瘤ＮＯＳ	     
 1 Abdominal mass	腹部腫瘤	     
 1 Abdominal pain aggravated	腹痛増悪	     
 1 Abdominal pain generalized	広汎性腹痛	     
 2 abdominal pain	ふくつう	     
 1 Abdominal pain localised	限局性腹痛	     
 1 Abdominal pain localized	限局性腹痛	     
 2 Abdominal pain lower	下腹部痛	     
 1 Abdominal pain NOS	腹痛ＮＯＳ	     
 1 Abdominal pain peptic ulcer type	消化性潰瘍性腹痛	     
 1 Abdominal pain upper	上腹部痛	     
 2 abdominal pain	腹痛	     
 1 Abdominal pain	腹痛	     
 2 abdominal paracentesis	ふくくうせんし	     
 2 abdominal paracentesis	腹腔穿刺	     
 2 abdominal pressure	ふくくうないあつ	     
 2 abdominal pressure	腹腔内圧	     
 2 abdominal reflex	ふくへきはんしゃ	     
 2 abdominal reflex	腹壁反射	     
