 1 2-deoxyglucose technique	2-탈산포도당 기법	     
 1 3D displays	3D 화면	     
 1 3D displays	3차원화면	     
 1 3-D perception	3차원 지각	     
 2 abaarthrosis	가동관절	     
 1 abarognosis	(⇒baragnosis) 무게인식불능증	     
 2 abarognosis	무게인식불능증	     
 1 abarthrosis	(⇒diarthrosis) 가동관절, 움직관절	     
 4 abarthrosis	움직관절	     
 1 abarticular	관절과관계없는-, 비관절-	     
 2 abarticular	관절과관계없는	     
 2 abarticular	비관절	     
 1 abarticulation	윤활관절, 탈구	     
 3 abarticulation	윤활관절	     
 3 abarticulation	탈구	     
 1 abasia astasia	기립보행불능증	     
 1 abasia astasia	기립보행불능	     
 1 abasia	못걸음증, 보행불능증	     
 3 abasia	보행불능증	     
 3 abasia	못걸음증	     
 4 abatement	증상감소	     
 1 abattoir	도축장	     
 1 abattoir fever	큐열	     
 1 abaxial	축옆	     
 1 abdomen	배, 복부	     
 2 abdomen	복부	     
 2 abdomen	배	     
 1 abdominal air sac	배공기주머니	     
 1 abdominal aneurysm	배대동맥자루	     
 1 abdominal aneurysm	복부동맥류	     
 1 abdominal angiostrongylosis	복부주혈선충증	     
 1 abdominal ballottement	복부거상	     
 1 abdominal	배-, 복부-	     
 1 abdominal distention	복부팽만	     
 4 abdominal	복부	     
 2 abdominal	배	     
 1 abdominal enlargement	복부팽대	     
 1 abdominal floor	복강바닥	     
 1 abdominal hernia	배벽헤르니아	     
 1 abdominal hernia	배벽탈장	     
 1 abdominal opening	복강구멍	     
 1 abdominal pain	복통	     
 1 abdominal paragonimiasis	복부폐흡충증	     
 1 abdominal part	배부분	     
 1 abdominal pressure	복압	     
 1 abdominal reflex	복벽반사	     
 2 abdominal respiration	복식호흡	     
 1 abdominal sac	배주머니	     
 1 abdominal sac	복낭	     
 1 abdominal segment	배마디	     
 1 abdominal segment	복절	     
 1 abdominal viscera	복강내장	     
 1 abdominocentesis	복강천자술	     
 1 abdominocentesis	복강천자	     
 1 abdomino-	배-	     
 2 abdomino-	배	     
 1 abdominoplasty	배성형술, 봇부성형술	     
 2 abdominoplasty	복부성형술	     
 2 abdominoplasty	배성형술	     
 1 abducent nerve	외향신경	     
 1 abducent nucleus	갓돌림신경핵	     
 1 abducent nucleus	외향신경핵	     
 1 abducting nystagmus	가쪽눈떨림	     
 1 abducting nystagmus	외전안진	     
 1 abduction	벌림, 외전	     
 4 abduction	벌림	     
 1 abductor cruris caudalis muscle	뒤하퇴외향근	     
