 1 1. max cordon 2. min cordon	górny (nadciśnienie skurczowe)/dolny (nadciśnienie rozkurczowe) limit ostrzegawczy	     
 1 2,2'-azobis(isobutyronitrile), AZBN	dinitryl kwasu azobis(2-metylopropanowego), 2,2'-azodiizobutyronitryl	     
 1 2,3,5-triiodobenzoic acid, TIBA	kwas 2,3,5-trijodobenzoesowy	     
 1 2,4,6-trinitrophenol, picric acid, carbazotic acid, nitroxanthic acid, peric acid	2,4,6-trinitrofenol, kwas pikrynowy	     
 1 2,4,6-trinitroresorcinol, styphnic acid	2,4,6-trinitrorezorcyna, kwas styfninowy	     
 1 2-amino-3-methylbutyric acid, [alfa]-aminoisovaleric acid, valine	kwas 2-amino-3-metylobutanowy, walina	     
 1 2-amino-4-methylpentanoic acid, [alfa]-aminoisocaproic acid, leucine	kwas 2-amino-4-metylopentanowy, leucyna	     
 1 2-aminohexanoic acid, [alfa]-aminocaproic acid, norleucine	kwas 2-aminoheksanowy, norleucyna	     
 1 2-ethylbutanoic acid, 2-ethylbutyric acid	kwas 2-etylobutanowy, kwas [alfa]-etylomasłowy, kwas dietylooctowy	     
 1 2-methyl acrylic acid, crotonic acid	kwas 2-metyloakrylowy, kwas but-2-enowy, kwas trans-2-butenowy kwas krotonowy	     
 1 2-phenylacrylic acid, atropic acid	kwas 2-fenyloakrylowy, kwas [alfa]-fenyloakrylowy, kwas 2-fenylopropenowy, kwas atropowy	     
 1 3-ketoglutaric acid	kwas 3-ketoglutarowy, kwas 3-oksopentanodiowy	     
 1 3-phenylacrylic acid	kwas 3-fenyloakrylowy, kwas cynamonowy	     
 1 abdomen (belly) firm (to palpation)	brzuch twardy	     
 1 Abdomen	Brzuch	     
 2 abdomen	brzuch	     
 1 Abdominal and pelvic pain	Ból w okolicy brzucha i miednicy	     
 3 abdominal cavity	jama brzuszna	     
 1 Abdominal part of esophagus	Brzuszna część przełyku	     
 1 Abdominal pregnancy	Ciąża brzuszna	     
 1 abdominal surgery	zabieg chirurgiczny jamy brzusznej	     
 1 abduction	odwodzenie	     
 1 abietinic acid, abietic acid, arachidic acid, sylvic acid	kwas abietynowy, kwas eikosanowy, kwas arachidowy, kwas arachidynowy	     
 1 abnormal turnover of bone	nieprawidłowy obrót kostny	     
 1 above the upper margin of	powyżej górnego brzegu	     
 1 Abramson sump drain	dren odciekowy Abramsona	     
 1 abscess	ropien	     
