 1 3-lead ECG	ECG de 3 derivações	     
 1 abandonic	abandônico	     
 1 abarticular	abarticular	     
 1 abasia	abasia	     
 1 abasic	abásico	     
 1 abdomen	abdômen	     
 1 Abdomen	abdomen	     
 1 abdomen	abdômen	     
 1 abdominal and thoracic walls	paredes abdominal e torácica	     
 1 Abdominal Injury	Lesão Abdominal	     
 1 Abdominal Pain	Dor Abdominal	     
 1 Abdominal-thoracic opening	Abertura abdominal-torácica	     
 1 abdominal thrusts	compressão abdominal	     
 1 abdominoplasty, tummy tuck	abdominoplastia	     
 1 abduction	abdução	     
 1 abductor	abdutor	     
 1 aberrant	aberrante	     
 1 aberration	aberração	     
 1 ABG	Arterial Blood Gases (sangue arterial, coletado para exames)	     
 1 ablation	ablação	     
 1 ablepharia	ablefaria	     
 2 abnormal	anormal	     
 2 abortion	aborto	     
 1 abortive	abortivo	     
 1 abrachia	abraquia	     
 3 abrasion	abrasão	     
 1 Abrasions	Escoriações	     
 1 abrasive	abrasivo	     
 1 abreaction	ab-reação	     
 1 abr	sluchowe potencjaly wywolane pnia mozgu	     
 1 abscess	abcesso	     
 1 abscessed	abcedido	     
 1 abscissa	abcissa	     
 1 absence	ausência	     
 1 absenteeism	absentismo	     
 1 absent external/middle ear	estruturas dos ouvidos médio/externo ausentes ou anotia dos ouvidos médio/externo	     
 1 absorbent	absorvente	     
 1 abstemious	abstêmio	     
 1 abstinent	abstinente	     
 1 abulia	abulia	     
 1 abuse	abuso	     
 1 acalculia	acalculia	     
 1 acanthocyte	acantócito	     
 1 acanthocytosis	acantocitose	     
 1 acanthosis	acantose	     
 1 acarids	acarídeos	     
 1 acariosis	acariose	     
 1 acaryote	acariota	     
 1 acathisia, akathisia	acatisia	     
 1 accelerin	acelerina	     
 1 accepted SAE	SAE permitido	     
 1 accommodation	acomodação	     
 1 accuminate	acuminado	     
 1 ACD (gene)	ACD (gene)	     
 1 acephaly (absence of a head)	acefalia	     
 1 acetabular	acetabular	     
 1 acetabuloplasty	acetabuloplastia	     
 1 acetabulum	acetábulo	     
 1 acetic	acético	     
 1 acetic acid	ácido acético	     
 1 acetone	acetona	     
 1 acetonemia	acetonemia	     
 1 acetonic	acetônico	     
 1 acetonuria	acetonúria	     
 1 acetylacetic acid	ácido acetilacético	     
 1 acetylcholine	acetilcolina	     
 1 acetyl-L-carnitine	acetil-L-carnitina	     
 1 acetylsalicylic	acetilsalicílico	     
 1 acetylsalicylic acid	ácido acetilsalicílico	     
 3 achalasia	acalasia	     
