 1 1.2 million lux hours	1,2 миллиона люкс-часов	     
 1 12 placebo or 30 mg tablets...	12 таблеток-плацебо или 12 таблеток ХХХ по 30 мг для приема внутрь	     
 1 13 Gallon containers	в контейнеры, ёмкостью 13 галлонов	     
 1 13 Phase 1 studies and 18 Phase 2/3 studies	13 исследований фазы I и 18 исследований фаз II/III	     
 1 13-plex	на 13 антигенов	     
 2 14% with positive serum HBs antigen	14% (пациентов) с антигеном HBs	     
 1 16-count bottles	Бутылочка на 16 таблеток	     
 1 18S rRNA gene with an amplified product of 324 bp.	ген 18S рРНК с амплифицированным продуктом длиной 324 пар оснований	     
 1 1 ECOG level	функциональный статус по шкале ECOG: 1 балл	     
 1 1mL/kg/d	1 мл/кг/сут	     
 1 1 ml per medium	по 1 мл на каждый вид среды	     
 1 1st degree recycled alcohol	Одноатомные (низшие) спирты	     
 2 20 mesh sieve	сито № 20	     
 1 21-carbon series steroid	С21-стероид	     
 2 24-hour clamp	24-часовой период поддержания фиксированной концентрации глюкозы (ИЛИ: равновесного состояния в условиях клэмп-теста)	     
 1 24-hour urinary-free cortisol	уровень свободного кортизола в суточной моче	     
 1 24 hr plasma obtained from whole blood	плазма, полученная из цельной крови в течение 24 час	     
 1 24 h variation	суточные колебания	     
 1 2-(5,6,7,8-tetrahydro-1-naphthylamino)-2-imidazoline hydrochloride monohydrate	2-(5,6,7,8-тетрагидро-1-нафтиламино)-2-имидазолингидрохлорида моногидрат	     
 1 28 mm/400 CR	28/400, крышка с защитой от вскрытия детьми	     
 1 2-effect vacuum forced circulation falling-film finisher	выпарной аппарат с падающей плёнкой жидкости и двухступенчатой вакуумной принудительной циркуляцией	     
 1 2log reciprocal dilutions	обратные (реципрокные) разведения, преобразованные к логарифмическому виду (log2)	     
 1 2-methoxy-1-(oxiran-2-ylmethoxy)benzene	2-метокси-1-(оксиран-2-илметокси)бензол	     
 1 2-methylbut-2-ene	2-метилбут-2-ен	     
 1 3-{4-[2-hydroxy-3-(2-methoxyphenoxy)propyl] ...	3-{4-[2-гидрокси-3-(2-метоксифенокси)пропил] пиперазинил}-1-(2-метоксифенокси)пропан-2-ол	     
 1 3-aminopropyl (methyl)-silsesquioxanes with end-group ethoxy	3-аминопропил-метилсилсесквиоксан с концевой этоксигруппой	     
 1 3-way crossover study	с тремя факторами (или периодами)	     
 1 44-kD variant chain	вариант (полипептидной) цепи с молекулярной массой 44 кДа	     
 1 44M BS sieve Thru	доля частиц, проходящих сквозь сито 44 меш (BS)	     
 1 4 w oral dose range finding	4-х недельное исследование по определению диапазона пероральных доз	     
 1 50 feet times 2	пройти по коридору 50 футов два раза	     
 1 \50% responder rate\	50-проценая положительная реакции на лекарственный препарат	     
 1 50s ribosomal subunit	50S субъединица рибосомы	     
 1 5 cps waves	волны с частотой [колебаний] 5 циклов в секунду (= 5 Гц)	     
 1 60-cс induction-sealed HDPE bottles	запаянные индукционным нагревом 60 мл.	     
 1 60% for ThOD or ThCO2	удовлетворяет условию 60% ThOD/ThCO2	     
 1 6-point parallel line assay analysis of the data	анализ данных параллельными группами по 6 точек	     
 1 70 mg AMG 162 subcutaneous injection	препарат AMG 162 (для лечения остеопороза)	     
 1 8 oz screw topped glass jar	склянка на 240 мл с закручивающейся крышкой	     
 1 8 oz screw topped glass jar	стеклянная бутыль емкостью 8 унций с резьбой на горлышке	     
 1 a 3726 bp band	полоса (1), соответствующая фрагменту из 3726 пар нуклеотидов	     
 1 aa	каждого	     
 2 A-band LPS	липополисахарид А-полосы	     
 1 abnormal splicing	аномальный сплайсинг	     
 1 abrasive article	абразивный материал	     
 1 abridged applications	\\\сокращенная\\\ заявка	     
 1 absence of asexual parasitaemia	отсутствие паразитемии	     
 1 absence of concomitant illness	отсутствие сопутствующих заболеваний	     
 1 absolute neutrophil count	абсолютное число нейтрофилов	     
