abortion rate	düşük oranı
abortionist	düşük yapan kimse
abortive	düşük yaptıran
abortus	düşük ürünü
abrachia	kolun konjenital yokluğu
abrachiocephalia	kol ve başın konjenital yokluğu
abrachius	kolsuz
abrade	eski
abrasio corneae	korneal abrazyon
abrasion	bir bölge yüzeyinin sıyrılması
abrasion grinding	ufalama
abrasive	abrazyon yapan
abrasiveness	bir maddenin sürtünmesiyle yüzeydeki aşınma
abreaction	duygusal rahatlama ve boşalma olayı
abrosia	perhiz
abrupt	aniden
abruptio	ayrılma
abruptio placentae	plasenta dekolmanı
abruption	ayrılma
abruptioplacentae	normal yerleşmiş plasentanın erken ayrılması
abscess	apse
abscission	kesip çıkarma
abscopal	radyasyon almış bir dokunun radyasyon almayan dokuyu etkilemesi
absence	yokluk
absidia	doğada yaygın bulunan bir mantar cinsi
absolute	saf
absolute accommodation	bir gözün diğerinden bağımsız yaptığı tam uyum
absolute adjustment	tam uyum
absolute alcohol	saf alkol
absorb	emerek içine al
absorbable	emilebilir
absorbable suture	emilebilir sütür
absorbance	soğurganlık
absorbefacient	emilime neden olan
absorbent	emici
absorptio	absorpsiyon
absorption	emilim
absorptive	gaz, sıvı, ışık ışını veya ısıyı içine alan
abstinence	yiyecek, içecek, ilaç veya cinsel ilişkinin alışkanlık olmasından kaçma
abstinence syndrome	yoksunluk sendromu
absurd	saçma
absurdity	saçmalık
abterminal	bir kastaki elektrik akımının yönünü gösteren
abtorsion	göz abdüksiyonu
abulia	istemli hareketlerde veya karar verme yeteneğinde olan azalma
abulic	istemli hareketi veya karar verme yeteneği azalan
abulomania	abulomani
abuse	v.kötüye kullan:n.yanlış kullanma
abutment	doğal yada sabit bir dişin sabit veya çıkarılabilir proteze destek olması
ac	aktinyum asetat
acalcerosis	akalserozis
acalcinosis	akalsinozis
acalculia	akalkuli
acampsia	bir eklemin katılığı veya bükülmemesi
acantha	diken veya spinal çıkıntı
acanthaceous	dikenli
acanthamoeba	toprak ve suda yaşayabilen bir amip
acanthesthesia	iğne batırılması gibi bir hissin var olduğu parestezi
acanthial	burun ucuna ait
acanthion	burnun en uç noktası
acantho	omurga çıkıntısı
acanthocephala	dikensi başlı kurt
acanthocheilonema	bir barsak solucanı
acanthocheilonemiasis	bir barsak solucanı enfeksiyonu
acanthocyte	multipl sitoplazmik çıkıntılar ile karakterize eritrosit
acanthocytosis	eritrositlerin çoğunun akantosit haline geldiği nadir durum
acanthoid	diken şekilli
acanthokeratodermia	akantokeratodermi
acantholysis	dikensi hücrelerin komşu hücrelerden ayrılması
acanthoma	epitermde yassı hücrelerin iyi huylu, kötü huylu veya neoplastik olmayan hipertrofisi
acanthometra	akantometra
acanthosis	hücre katının kalınlığının artması
acanthosis nigricans	akantozis nigrikans
acanthotic	akantoz özelliği olan
acapnia	kanda karbondioksit yokluğu
acapsular	kapsülsüz
acarbia	akarbi
acardia	kalbin konjenital yokluğu
acariasis	kenelerle oluşan bir hastalık
acaricide	kene ve sakırga öldüren madde
acarid	acaridae ailesinden bir tür kene
acaridae	bir tür kene
acaridiasis	kenelerle oluşan bir hastalık
acarina	kene ve sakırgaları içeren familya
acarine	keneler takımının bir üyesi
acarinosis	kenelerle oluşan bir hastalık
acarodermatitis	keneler sebebiyle cilt inflamasyonu ve erupsiyonu
acaroid	keneye benzer
acarophobia	küçük parazitlerden ve kaşınmadan korkma
acarpia	sterilite
acarpous	steril
acarus	bir kene cinsi
acaryote	çekirdeksiz
acatalasemia	kanda katalazın herediter yokluğu veya düşüklüğü
acatalepsia	mental retardasyon
acatamathesia	anlama yeteneğinin kaybolması
acataphasia	bir cümleyi doğru kurabilme yeteneğinin koybolması
acataposis	disfaji
acathectic	vücut salgılarının anormal kaybı ile ilişkili olan
acathexia	vücut salgılarının anormal kaybı
acathexis	belirli objelerin, düşüncelerin kişide duygusal cevap oluşmadığı bir akıl hastalığı
acaudal	akaudal
acaudate	akaudal
acaulina	sapsız
accelerans	hızlandırıcı
acceleration	hızlandırma
accelerator	etkiyi hızla artıran
accentric	merkezi olmayan genetikte setromer içermeyen
accentuate	şiddetlendir
accentuation	kuvvetlendirme
accentuator	bir doku, histolojik elementin boya ile birleşmesini sağlayan madde
acceptor	alıcı
accessorius	yardımcı
accessory	yedek
accipiter	accipiter
acclaim	anla
acclimation	iklim,çevre ısısı ve yüksekliğe fizyolojik olarak alışma
acclimatization	iklime alışma
accommodate	yer sağla
accommodation	uyum süreci
accommodative	uyum ile ilgili
accommodometer	akomodometre
accouchement	doğum
accouchement forse	müdahaleli doğum
accoucheur	ebe
