 1 accueil	problemas de acogida al abandonar el hospital...	     
 2 acier inox usiné	acero inoxidable mecanizado	     
 1 acte exonérant (exonération)	exento de pago (exonerado)	     
 1 adhérence	enganchosidad	     
 1 affusion	afusión	     
 1 alésoir	escariador	     
 1 Anse de Henle	Ansa de Henle	     
 1 arbre urinaire	tracto urinario	     
 1 artère sous-clavières	arterias subclavias	     
 1 arthrite	artritis	     
 1 Assistance sanitaire	proceso de atencion a la salud	     
 1 avec repousse partielle de quelques fibres mais insuffisante pour...	con rebrote parcial de algunas fibras pero insuficiente...	     
 1 battement	latido/ palpitación	     
 1 BCG	BCG	     
 1 blanc-verdâtre	blanco-verdoso	     
 1 cal vicieux articulaire cotyloïdien	callo vicioso articular cotiloideo	     
 1 capillaire de liaison	hilo o capilar de enlace/conexión	     
 1 capital joules	cantidad de calorías	     
 1 capsuloclasie	capsulotomía cerrada	     
 1 cardiofrequencemètre	cardiofrecuencímetro	     
 1 chauffage	calentamiento	     
 1 chromatogramme	cromatograma	     
 1 chromatographie	cromatografía	     
 1 chromatographie en phase gazeuse (CPG)	cromatografía de gases (CG)/(GC)	     
 1 Ci-dessous	hallarse revacunado	     
 1 Colécystectomie coelioscopique	colecistectomía laparoscópica - por vía laparoscópica	     
 1 colonne capillaire	columna capilar	     
 1 colonne	columna	     
 1 colonne remplie	columna de relleno	     
 2 Combleur local	filler tópico	     
 1 compliances	distensibilidad	     
 1 consentement éclairé	consentimiento informado	     
 1 constante d'élimination	constante de disposición	     
 1 contrer	contrarrestar, contraponer, oponer	     
 1 coqueluche	tos ferina	     
 1 cordon de maintien	cordón sujetador	     
 1 core, coeur, noyau, essence, base	core	     
 1 cotation	cotización, registro	     
 1 coulisse bicipitale	surco bicipital; surco intertubercular	     
 1 coupes en HR si nécessaire	tomas en alta resolución	     
 1 Couple de frottement	Torque de fricción	     
 1 Coupole de Goldman	Cúpula de Goldman	     
 1 coût par année de vie sauvée	coste por año de vida salvada	     
 1 couverture de survie	manta térmica	     
 1 couverture risque: maladie avec ticket modérateur	Cobertura de riesgo: enfermedad con ticket moderador	     
 1 Créatinine	Creatinina	     
 1 culot urinaire	Sedimento urinario	     
 1 ddc.	des deux côtés	     
 1 décubitus	decúbito	     
 1 de l'aorte à la veine rénale	aorto-vena renal	     
 1 de première cour	premier recours = atención primaria	     
 1 Derives diazeniumdiolates	variaciones/desviaciones diazeniumdiolatos	     
 1 diaphragmatique	afectación del diafragma	     
