 1 16a-Hydroxy-DHAS	16a-hidroxi-DHAS	     
 1 2D-Echokardiographie, die	ecocardiografía 2D	     
 1 Abbau, der	degradación	     
 1 abbauen	descender (presión)	     
 1 Abbauprodukt des Blutfarbstoffes Hämoglobin	producto derivado del metabolismo de la hemoglobina	     
 1 abbiegen	plegarse, doblar	     
 1 abbilden	representar	     
 1 abbilden	reproducir, proyectarse	     
 1 Abbildung, die	ilustración	     
 1 Abbildungsmassstab	escala de reproducción	     
 1 Abbissstellung	posición de mordida	     
 1 abbrechen	abortar, terminar	     
 1 Abbremsen	frenado	     
 1 Abdeckboden	fondo de recubrimiento	     
 1 abdecken	cubrir	     
 1 Abdeckhaube	cubierta	     
 1 Abdecklage	posición de recubrimiento	     
 1 Abdeckleiste	tapajuntas	     
 1 Abdeckprofil	perfil de recubrimiento	     
 1 Abdeckung	revestimiento, recubrimiento, cubierta	     
 1 abdichten	hermetizar	     
 1 Abdichtung	hermeticidad, estanqueidad, hermetización	     
 1 abdingen	derogar	     
 1 abdrängen	separar	     
 1 abendlicher Temperaturanstieg	subida de la temperatura vespertina	     
 1 abfahren	salir	     
 1 Abfall	caída	     
 1 Abfall, der	caída	     
 1 abfangen	absorber, amortiguar	     
 1 abfedern	amortiguar, suspender elásticamente	     
 1 abflachen	aplanarse	     
 1 abflachen	suavizar, nivelar	     
 1 abfließen	salir la sangre de	     
 1 Abflusshinderung	obstrucción del flujo	     
 1 Abfluss	salida	     
 1 Abflußweg, der	vía de salida	     
 1 Abfolge, in	sucesivamente	     
 1 Abfolge	sucesión	     
 1 abfragen	consultar	     
 1 abführende Gallenwege	conductos biliares eferentes	     
 1 abführen	evacuar	     
 1 Abfüllen	envasado	     
 1 Abgabe, die	liberación	     
 1 Abgabe	emisión, desprendimiento	     
 1 Abgabevorrichtung	dispositivo de descarga	     
 1 Abgas	gas de escape	     
 1 Abgaszusammensetzung	composición de los gases de escape	     
 1 abgeben	liberar / expulsar	     
 1 abgeben	suministrar, entregar, desprender	     
 1 abgedichtet	estanqueizado/a	     
 1 abgehen	salir	     
 1 abgerundet	redondeado	     
 1 Abgeschlagenheit, die	abtimiento, el	     
 1 abgeschrägt	biselado/a	     
 1 abgesehen von	aparte de	     
 1 abgewandt	opuesto/a	     
 1 Abgleichwiderstand	resistencia ajustable	     
 1 abgreifen	tomarse, captar	     
 1 Abheben	levantamiento	     
 1 abhelfen	remediar	     
 1 Abhorche, das	auscultación	     
 1 abisolieren	desguarnecer	     
 1 abkanten	biselar	     
 1 abklappen	abatir	     
 1 Abkopplung	desacoplamiento	     
 1 Abkühlung	enfriamiento	     
 1 abkuppeln	desacoplar	     
 1 Ablage	anaquel	     
 1 Ablagefächer	compartimento portaequipajes, compartimiento portaobjetos	     
 1 Ablagefläche	superficie de almacenamiento	     
 1 ablängen	cortar a medida	     
 1 Ablaufarmatur	armazón de desagüe	     
 1 Ablaufdiagramm	diagrama, diagrama de flujos	     
 1 ablaufen	desarrollarse / transcurrir	     
 1 ablaufen	desviar	     
 1 abläufen	producirse	     
 1 ablaufen	terminar, terminada	     
 1 Ablaufkanal	canal de salida	     
 1 Ablaufleitung	tubería de evacuación	     
 1 Ablauf	recorrido, desarrollo, desagüe	     
 1 Ablaufstutzen	manguito de salida	     
 1 ablegen	colocar, almacenar	     
 1 ableitend	eferente	     
 1 ableiten	descargar	     
 1 Ableitung	deducción	     
 1 ablenken	difractar, desviar	     
 1 Ablenkfähigkeit	capacidad de desviación	     
 1 ablösen	desprender	     
 1 Ablösung	desprendimiento, separación, desconexión	     
 1 Abluftsdüse	tobera de evacuación del aire	     
 1 Abmass	dimensión	     
 1 Abmessung	dimensiones	     
 1 Abnabelung, die	onfalotomía	     
 1 Abnahme	caída, entrega	     
 1 Abnahme, die	disminución	     
 1 abnehmen	desmontarse, decrecer	     
