 1 a, ab	от	     
 1 abdomen: inis n	брюшной	     
 1 abdomen: inis n	живот	     
 1 abdomen: inis n	чрево	     
 1 abducens: entis	отводящий	     
 1 abduco: ere III	отводить	     
 1 ablatio: onis f	абляция	     
 1 ablatio: onis f	отслоение	     
 1 ablatio: onis f	удаление	     
 1 aboralis	аборальный	     
 1 aboralis	удаленный от рта	     
 1 abortus: us	аборт	     
 1 abortus: us	выкидыш	     
 1 abrasio	выскабливание	     
 1 abscessus: m	абсцесс	     
 1 abscessus: m	нарыв	     
 1 absens: entis	отсутствующий	     
 1 absente aegroto	в отсутствии больного	     
 1 absentia	отсутствие	     
 1 absque	без	     
 1 abstinentia	воздержание	     
 1 abstractus	абстрактный	     
 1 ab-	приближение	     
 1 academia	академия	     
 1 ac, atque	а также	     
 1 ac, atque	и	     
 1 accessorius	добавочный	     
 1 accidentalis	второстепенный	     
 1 accidentalis	случайный	     
 1 accumulatio: onis f	накопление	     
 1 accuso: are I	обвинять	     
 1 acetabulum	вертлужная впадина	     
 1 acetum	уксус	     
 1 acetylsalicylicus	ацетилсалициловый	     
 1 Achilles	Ахилл	     
 1 acidum aceticum	кислота уксусная	     
 1 acidum acetylsalicylicum	кислота ацетилсалициловая	     
 1 acidum arsenicosum	кислота мышьяковистая	     
 1 acidum ascorbinicum	кислота аскорбиновая	     
 1 acidum benzoicum	кислота бензойная	     
 1 acidum carbolicum	кислота карболовая	     
 1 acidum carbonicum	кислота угольная	     
 1 acidum citricum	кислота лимонная	     
 1 acidum folicum	кислота фолиевая	     
 1 acidum glutaminicum	кислота глутаминовая	     
 1 acidum hydrochloricum	кислота хлористоводородная (соляная)	     
 1 acidum hydrocyanicum	кислота синильная	     
 1 acidum hydrocyanicum	кислота цианистая	     
 1 acidum hydrosulfuricum	кислота кислота сероводородная	     
 1 acidum lacticum	кислота молочная	     
 1 acidum lipoicum	кислота липоевая	     
 1 acidum nicotinicum	кислота никотиновая	     
 1 acidum nitricum	кислота азотная	     
 1 acidum nitrosum	кислота азотистая	     
 1 acidum phosphoricum	кислота фосфорная	     
 1 acidum salicylicum	кислота салициловая	     
 1 acidum sulfuricum	кислота серная	     
 1 acidum sulfurosum	кислота сернистая	     
 1 acidum	кислота	     
 1 acquisitus	приобретенный	     
 1 acr-, -acria	дистальный отдел части тела	     
 1 acr-, -acria	заостренный	     
 1 acr-, -acria	конечность	     
 1 acrichinum	акрихин	     
 1 acromialis	акромиальный	     
 1 acromion	акромион	     
 1 actinomicosis: is f	актиномикоз	     
 1 actio: onis f	действие	     
 1 acusticus	акустический	     
 1 acusticus	слуховой	     
 1 acusticus	слуховой (tuba)	     
 1 acutus	острый	     
 1 ad-, apo-	отдаление	     
 1 ad decubitum	при пролежнях	     
 1 addo: ere III	добавлять	     
 1 aden-, adenoides	аденоиды	     
 1 aden-	железа	     
 1 aden-	узел лимфатический	     
 1 adhibeo: ere II	применять	     
 1 adhibeo: III	применить	     
 1 adiposus	жирный	     
 1 adiposus	жировой	     
 1 aditus: us	вход	     
 1 adjuvans: ntis	вспомогательный	     
 1 adjuvans: ntis	помогающий	     
 1 adjuvo: are I	помогать	     
 1 adjuvo: are I	содействовать	     
 1 adnexa	придатки	     
 1 adonis: idis m/f	адонис	     
 1 adonisidum	адонизид	     
 1 adrenalinum	адреналин	     
 1 adultus	взрослый	     
 1 adultus	совершеннолетний	     
 1 ad usum externum, pro usu externo	для наружнего применения	     
 1 ad usum internum, pro usu interno	для внутреннего применения	     
 1 ad	для	     
 1 ad	до	     
