 1 adjuwant	adyuvante	     
 1 afonia/bezgłos	afonía	     
 1 analiza obszarów HV1 y HV2	análisis de las regiones HV1 y HV2	     
 1 antrachinony	antraquinonas	     
 1 aparat do pomiaru CO w wydychanym powietrzu	cooximetro	     
 1 ataksja	ataxia	     
 1 audiometria	audiometría	     
 1 badania/analizy wykrywające i potwierdzające	diagnósticos de orientación y certeza	     
 1 badanie patologiczne, badanie histopatologiczne	análisis patológico, AP	     
 1 badanie przeglądowe (TK)	(TC) sin contraste	     
 1 badanie wzroku	control de visión	     
 1 bakterie Gram-dodatnie	bacterias Gram positivas	     
 1 bakterie Gram-ujemne	bacterias Gram negativas	     
 1 balneoterapia	balneoterapia	     
 1 bezsenność	insomnio	     
 1 bez znaczenia klinicznego	sin interés clínico	     
 1 bladość	palidez	     
 1 bodziec bolesny	estímulo doloroso	     
 1 bóle karku	cervicalgia	     
 1 całkowite niedowidzenie połowicze	hemianopía completa	     
 1 cewnik moczowy	catéter ureteral	     
 1 cewnik naczyniowy	catéter vascular	     
 1 cewnik naczyniowy centralny	catéter vascular central	     
 1 chirurgia jednego dnia	cirugía ambulatoria / cirugía de día	     
 1 cholestaza	colestasis / colestasia	     
 1 chromatografia gazowa	cromatografía de fases	     
 1 Ciąża 1, Poród 1	G 1, P 1 // Gestación 1, Parto 1	     
 1 composición cualitativa (de un medicamento)	skład jakościowy (lekarstwa)	     
 1 control del lote (de un medicamento)	kontrola serii (lekarstwa)	     
 1 cysta / torbiel naskórkowa	quiste epidérmico	     
 1 cysta / torbiel	quiste	     
 1 częściowe niedowidzenie połowicze	hemianopía incompleta	     
 1 częstotliwości alleli (w populacji)	frecuencias alélicas (de la población)	     
 1 data ostatniej miesiączki	Fecha de Última Regla, FUR	     
 2 dawkowanie	posología	     
 1 deficyt ruchowy	deficiencia motriz	     
 1 densytometria	densitometría	     
 1 densytometria kostna	densitometría ósea	     
 1 diagnostyka obrazowa	diagnóstico por la imagen	     
 1 diastaza mięśni	diástasis muscular	     
 1 DNA jądrowe	ADN nuclear	     
 1 DNA mitochondrialne	ADN mitocondrial	     
 1 dren stetoskopu	tubo de fonendoscopio	     
 1 drożność oddechowa	permeabilidad respiratoria	     
 1 dyzartria	disartria	     
 1 echokardiogram	ecocardiograma	     
 1 encefalopatia pourazowa	encefalopatía postraumática	     
 1 fauna zwłok / fauna nekrofagiczna	fauna cadavérica	     
 1 faza nadpowierzchniowa	espacio de cabeza (headspace)	     
 1 fizjoterapia neurologiczna	fisioterapia neurológica	     
 1 fizjoterapia oddechowa	fisioterapia respiratoria	     
 1 fizjoterapia pediatryczna	fisioterapia pediátrica	     
 1 fizjoterapia pourazowa	fisioterapia traumatológica	     
 1 fizjoterapia reumatologiczna	fisioterapia reumatológica	     
 1 fizjoterapia sportowa	fisioterapia deportiva	     
 1 forma farmacéutica	postać farmaceutyczna	     
 1 glikol polietylenowy	polietilenglicol	     
 1 głowica stetoskopu	campana de fonendoscopio	     
 1 hemostaza	hemostasis	     
 1 herpeswiroza, wirusowe zapalenie nosa i tchawicy	herpesvirosis / rinotraqueítis	     
 1 hipersomnia/nadmierna senność	hipersomnia	     
 1 historia ginekologiczno-położnicza	antecedentes ginecológicos y obstétricos, AGO	     
 1 iloraz prawdopodobieństwa	razón de verosimilitudes	     
 1 impedancjometria	impedanciometría	     
 1 infekcja bakteryjna	infección bacteriana	     
 1 infekcja grzybicza	infección fúngica	     
 1 infekcja wirusowa	infección vírica	     
 1 jednostronny	ipsilateral	     
 1 kalciwiroza	calcivirus	     
 1 kolonoskopia wirtualna	colonoscopia virtual	     
 1 kręcz szyi	tortícolis	     
 1 krótkotrwałe zaniewidzenie / przejściowa ślepota	amaurosis fugaz	     
 1 krwiak	hematoma	     
 1 krwiak przymózgowy	hematoma subdural / paracerebral	     
 1 krwiak śródmózgowy	hematoma intracerebral	     
 1 krwotoczne stłuczenie mózgu	contusión cerebral hemorrágica	     
 1 kurcz/skurcz mięśniowy	contractura muscular	     
 1 lampa szczelinowa	lámpara de hendidira	     
 1 leczenie bólu	tratamiento del dolor	     
 1 leczenie zachowawcze	tratamiento conservador	     
 1 leki zabliźniające	espulóticos / cicatrizantes	     
 1 lek/preparat homeopatyczny	medicamento homeopático	     
 1 liberación del lote (de un medicamento)	zwolnienie serii (lekarstwa)	     
 1 limfadenektomia	linfadenectomía	     
 1 liofilizat	liofilizado	     
 1 łojotokowe zapalenie skóry	dermatitis seborreica	     
 1 łojotok	seborrea	     
 1 lumbago/ból lędźwiowo-krzyżowy	lumbalgia	     
 1 lumpektomia	tumorectomía	     
 1 łuszczenie (skóry)	descamación	     
 1 marker	marcador	     
 1 martwica niedokrwienna	necrosis isquémica	     
 1 martwica skóry	necrosis de la piel	     
 1 materac przeciwodleżynowy	colchón anti-decúbito	     
 1 młotek neurologiczny	martillo de reflejo	     
 1 napięcie mięśniowe	tensión muscular	     
 1 następstwo	secuela	     
 1 nazwa powszechnie stosowana (lekarstwa)	denominación común (del medicamento)	     
 1 niedostateczny rozwój / niedorozwój	hipotrofia	     
 1 niedowidzenie połowicze	hemianopía	     
 1 niedowład nerwu twarzowego	paresia del nervio facial	     
 1 niedowład	paresia	     
 1 niedowład spastyczny czterokończynowy	tetraparesia espástica	     
 1 nietrzymanie moczu	incontinencia urinaria	     
 1 nietrzymanie stolca	incontinencia fecal	     
 1 niewydolność oddechowa	insuficiencia respiratoria	     
 1 nowotwór naciekający	cancer infiltrante, CA infiltrante	     
 1 nowotwór, rak	cáncer, CA	     
 1 Nr karty obserwacji klinicznej	Número de Historia Clínica, NHC	     
 1 obniżenie/spadek napięcia mięśniowego	disminución del tono muscular	     
 1 obrzęk mózgu	edema cerebral	     
 1 odbarczenie	descompresión	     
 1 oddech wspomagany / oddychanie wspomagane	respiración asistida	     
 1 oddech zastępczy / oddychanie zastępcze	respiración artificial	     
 1 Oddział Chirurgii Urazowo-Ortopedycznej	Unidad de Cirugía Ortopédica y Traumatología	     
 1 Oddział Intensywnej Opieki Medycznej (OIOM)	Unidad de Cuidados Intensivos	     
 1 odparzenie / wyprzenie	intertrigo	     
 1 odruchowe skurcze mięśni	contracción refleja de los músculos	     
 1 odżywianie drogą pozajelitową	alimentación parenteral / por vía parenteral	     
