 1 ácido ricinoleico	ácido ricinólico	     
 1 amiloidose cardíaca	amiloidosis cardíaca	     
 1 anel mitral	anillo mitral	     
 1 antenadas	sintonizadas, atenerse a	     
 1 calcificação das membranas pericárdicas	calcificación de las membranas pericárdicas	     
 1 calos (entre os dedos dos pés)	ojos de gallo	     
 1 cesariana	C-section	     
 1 Clínica de Tratamento de Sequelas de  Lesões	Clínica de Atención a Secuelas por Lesiones ..	     
 1 comprometimento cardíaco	compromiso cardíaco	     
 1 contração isovolumétrica	contracción isovolúmica	     
 1 Déficit pondero estatural	Defiit pondero-estatural	     
 1 depósito lisossômico	depósito lisosomal	     
 1 dilatação atrial	dilatación auricular	     
 1 Doppler tecidual colorido	Doppler tisular color	     
 1 DST- Doença sexualmente transmissível	ETS- Enfermedad de transmisión sexual	     
 1 Durante a permanência do doente no hospital	Durante la estancia del paciente en el hospital	     
 1 ecocardiografia	ecocardiografía	     
 1 eletrocardiograma	electrocardiograma	     
 1 encaixotamento - encaixotadeira	envasado - envasadora	     
 1 endomiocardiofibrose	endomiocardiofibrosis	     
 2 esfregaço	frotis	     
 1 espessamento parietal	engrosamiento parietal	     
 1 estenose aórtica	estenosis aórtica	     
 1 exame de vista	vision screening	     
 1 foi nomeado/ intitulado	nominó	     
 1 função atrial	función auricular	     
 1 glicogenose	glucogenosis	     
 1 globotriaosilceramida	globotriasilceramida	     
 1 graduado	aforado	     
 1 hematias	hematíes	     
 1 hemocromatose	hemocromatosis	     
 1 implante de desempenho	inserto de performance	     
 1 internamento	hospitalización	     
 1 intravenoso	endovenoso	     
 1 linha de inoculação/sementeira	línea de siembra	     
 1 mandibula	jaw	     
 1 marcação	cita (en el médico)	     
 1 MICROELETRODOS	microelectrodos	     
 1 miofibrilas	miofibrillas	     
 1 nota de alta	informe de alta	     
 1 Nota de alta	Informe de alta	     
 1 obstipação	estreñimiento	     
 1 o identifiquei	identifiqué	     
 1 pacemaker	marcapasos	     
 1 papel cartão	papel cartón	     
 1 parecer médico	juicio clínico	     
 1 PREGAS CUTÁNEAS	Plicas cutáneas	     
 1 químicos/chemical	elímico	     
 1 rebentar das águas	rotura de aguas	     
 1 Recobro	Sala de despertar	     
 1 sala de partos	paritorio	     
 1 sei que com frequência	Sé que a menudo	     
 1 tártaro	sarro	     
 1 tensão apical	deformación apical	     
 1 tensão basal	deformación basal	     
 1 tensão bidimensional	deformación bidimensional	     
 1 tensão circunferencial	deformación circunferencial	     
 1 tensão radial	deformación radial	     
 1 trilha sonora	banda sonora	     
 1 UTI neonatal	NICU	     
 1 α-galactosidase	α-galactosidasa	     
